Value,Cost,Param1,Param2,,
606.64239424,39.2035498342438,0.01,0.01,10000,0.01
611.10300008,39.3539557454594,0.01,0.01,10000,0.01
615.56360592,39.4928453091465,0.01,0.0975373427,10000,0.01
620.02421176,39.6366695758895,0.01,0.0962566555,10000,0.01
624.4848176,39.796069728248,0.01,0.01,10000,0.01
628.94542344,39.9404774481684,0.01,0.01,10000,0.01
633.40602928,40.0834379788069,0.01,0.01,10000,0.01
637.86663512,40.2249715758319,0.01,0.01,10000,0.01
642.32724096,40.2695978968042,0.063822126,0.01,10000,0.01
646.7878468,40.5038373234448,0.01,0.01,10000,0.01
651.24845264,40.5444948640716,0.0620366517,0.01,10000,0.01
655.70905848,40.7772301365797,0.01,0.01,10000,0.01
660.16966432,40.9119213691693,0.01,0.01,10000,0.01
664.63027016,41.0453003563424,0.01,0.01,10000,0.01
669.090876,41.1773851203083,0.01,0.01,10000,0.01
673.55148184,41.2122655355208,0.0464794265,0.01,10000,0.01
678.01208768,41.4377425801558,0.01,0.01,10000,0.01
682.47269352,41.5627861213928,0.01,0.01,10000,0.01
686.93329936,41.6363621190083,0.01,0.0716907348,10000,0.01
691.3939052,41.8071923258146,0.01,0.01,10000,0.01
695.85451104,41.9277193152512,0.01,0.01,10000,0.01
700.31511688,41.9888276313823,0.0318108375,0.01,10000,0.01
704.77572272,42.1282945930988,0.01,0.046199355,10000,0.01
709.23632856,42.2827675564901,0.01,0.01,10000,0.01
713.6969344,42.3746655924813,0.01,0.0294444046,10000,0.01
718.15754024,42.4805261108548,0.0261764231,0.0262564865,10000,0.01
722.61814608,42.6298971718313,0.01,0.01,10000,0.01
727.07875192,42.7366313181529,0.01,0.0333198231,10000,0.01
731.53935776,42.8644175326511,0.01,0.01,10000,0.01
