Value,Cost,Param1,Param2,,
398.29157496,1.14480124496255,142.050646,0.01,214.930896,0.163776528
409.35522982,1.14480183571374,140.973623,0.01,4898.19313,0.963448825
420.41888468,1.14477100120145,141.114578,0.01,283.315856,0.365572636
431.48253954,1.14476094265597,141.023216,0.01,362.026635,0.502970186
442.5461944,1.14475346877037,140.531877,0.01,463.949329,0.61252089
453.60984926,1.14473170874089,139.726959,0.01,257.355409,0.301560925
464.67350412,1.14472289360924,139.515097,0.01,448.069494,0.59883164
475.73715898,1.14471465359705,139.535966,0.01,642.675325,0.719721091
486.80081384,1.14470015470213,138.978342,0.01,634.952086,0.716408202
497.8644687,1.14469607986643,137.666907,0.01,3427.61484,0.947686039
508.92812356,1.144678503334,137.915496,0.01,184.481112,0.0253570634
519.99177842,1.14466986718917,137.51237,0.01,339.892618,0.471158604
531.05543328,1.0783638289074,2.0047539,10.3789149,4618.23819,0.333626264
542.11908814,1.14465650565526,137.068246,0.01,612.648922,0.706745346
553.182743,1.14464621457433,136.677589,0.01,190.81302,0.0574693854
564.24639786,1.14464380087881,136.863457,0.01,1553.62033,0.884198385
575.31005272,1.14463267586014,136.11795,0.01,255.994412,0.298294544
586.37370758,1.14462438116213,136.113216,0.01,231.612159,0.223162117
597.43736244,1.14461999056646,135.749702,0.01,498.638376,0.639629696
608.5010173,1.14461243116984,135.591078,0.01,683.467958,0.736871227
619.56467216,1.14461258705643,135.394046,0.01,884.408828,0.796349204
630.62832702,1.14460490816412,135.530555,0.01,254.491004,0.291710094
641.69198188,1.14460245471391,134.519895,0.01,830.387736,0.783889261
652.75563674,1.14459218147577,134.751338,0.01,198.798841,0.0953710701
663.8192916,1.14460133269378,134.170803,0.01,440.435898,0.591714548
674.88294646,1.14459577576447,133.839939,0.01,266.680594,0.327844821
685.94660132,1.14458106335661,134.154103,0.01,763.81329,0.764473134
697.01025618,1.14457674910536,134.131578,0.01,379.065879,0.525576149
708.07391104,1.14457588745561,133.611688,0.01,203.811089,0.118377204
