variable_name,units,value,data_reference
k_beta1,dimensionless,0.76,Parichatikanond_2024
k_beta2,dimensionless,0.22,Parichatikanond_2024
k_b1coupleGs,dimensionless,0.72,Wollemann_1975
k_b2coupleGs,dimensionless,0.99,Wollemann_1975
k_b2coupleGi,dimensionless,0.99,Wollemann_1975
M2_max,dimensionless,1,Myslivecek_2008
EC50_beta1,nM,31.7,Konkar_2000
EC50_beta2,nM,26.9,Baker_2010
T_cAMPPKA,nM,25.87,Linder_2024
K_If,millivolt,24.4,Linder_2024
K05_If,millivolt,17.33,Linder_2024
n_iter,dimensionless,1,user_defined
Area_betaAR,umeter2,1,user_defined
Area_M2R,umeter2,1,user_defined
AC2cAMP_conversion,uM,4,to_be_identified
IC50_beta2,nM,4000,to_be_identified
IC50_M2,nM,9.8,to_be_identified
k_M2bindGi,dimensionless,0.99,to_be_identified
EC50_Gs,dimensionless,1,to_be_identified
k_Gi,dimensionless,0.5,to_be_identified
ACCa_max,dimensionless,1,to_be_identified
EC50_Ca,nM,8,to_be_identified
T_PKAPbeta2,dimensionless,0.7,to_be_identified
AC_maxstimulated,dimensionless,7.7,to_be_identified
PDE_cAMP,uM,0,to_be_identified
R,joule_per_kilomole_kelvin,8314.472,Fabbri_2017_Computational
T,kelvin,310,Fabbri_2017_Computational
F,coulomb_per_mole,96485.3415,Fabbri_2017_Computational
C,microF,5.70E-05,Fabbri_2017_Computational
clamp_mode,dimensionless,0,user_defined
t_holding,second,0.5,user_defined
t_test,second,0.5,user_defined
V_test,millivolt,-35,Fabbri_2017_Computational
ACh_init,nM,0,user_defined
ISO_init,nM,0,user_defined
ISO_max,nM,10000,to_be_identified
ISO_high,nM,3000,to_be_identified
beta_ntotal,dimensionless,1,user_defined
Area_Ca,umeter2,1,to_be_identified
CaMKII,millimolar,6.4,to_be_identified
alpha,dimensionless,0.5927,Fabbri_2017_Computational
g_f,microS,0.00427,Fabbri_2017_Computational
blockade,dimensionless,0,user_defined
Km_f,millimolar,45,Fabbri_2017_Computational
Nao,millimolar,140,Fabbri_2017_Computational
Ki,millimolar,140,Fabbri_2017_Computational
Ko,millimolar,5.4,Fabbri_2017_Computational
Ca_sub,millimolar,6.23E-05,Fabbri_2017_Computational
Cao,millimolar,1.8,Fabbri_2017_Computational
P_CaL,nanoA_per_millimolar,0.4578,Fabbri_2017_Computational
P_CaT,nanoA_per_millimolar,0.4578,Fabbri_2017_Computational
g_Kr,microS,0.00424,Fabbri_2017_Computational
