variable_name,units,value,data_reference
k_beta1,dimensionless,0.76,Parichatikanond_2024
k_beta2,dimensionless,0.22,Parichatikanond_2024
k_b1coupleGs,dimensionless,0.72,Wollemann_1975
k_b2coupleGs,dimensionless,0.99,Wollemann_1975
k_b2coupleGi,dimensionless,0.99,Wollemann_1975
M2_max,dimensionless,1,Myslivecek_2008
EC50_beta1,nM,31.7,Konkar_2000
EC50_beta2,nM,26.9,Baker_2010
T_cAMPPKA,nM,25.87,Linder_2024
K_If,millivolt,24.4,Linder_2024
K05_If,millivolt,17.33,Linder_2024
n_iter,dimensionless,1,user_defined
Area_betaAR,umeter2,1,user_defined
Area_M2R,umeter2,1,user_defined
AC2cAMP_conversion,uM,4,to_be_identified
IC50_beta2,nM,4000,to_be_identified
IC50_M2,nM,9.8,to_be_identified
k_M2bindGi,dimensionless,0.99,to_be_identified
EC50_Gs,dimensionless,1,to_be_identified
k_Gi,dimensionless,0.5,to_be_identified
ACCa_max,dimensionless,1,to_be_identified
EC50_Ca,nM,8,to_be_identified
T_PKAPbeta2,dimensionless,0.7,to_be_identified
AC_maxstimulated,dimensionless,7.7,to_be_identified
PDE_cAMP,uM,0,to_be_identified
