variable_name,units,value,data_reference
l_subclavian_L66_A,metre,0.04946686,ADAN
r_us_subclavian_L66_A,metre,0.0041873574,ADAN
E_subclavian_L66_A,J_per_m3,400000,ADAN_86
u_ext_subclavian_L66_A,J_per_m3,0,user_defined
theta_subclavian_L66_A,dimensionless,0,user_defined
K_m_subclavian_L66_A,Js_per_m3,30000,Toro_2021
l_subclavian_L66_B,metre,0.04113964,ADAN
r_us_subclavian_L66_B,metre,0.0028900424,ADAN
E_subclavian_L66_B,J_per_m3,400000,ADAN_86
u_ext_subclavian_L66_B,J_per_m3,0,user_defined
theta_subclavian_L66_B,dimensionless,0,user_defined
K_m_subclavian_L66_B,Js_per_m3,30000,Toro_2021
l_axillary_L,metre,0.1200211,ADAN
r_us_axillary_L,metre,0.002189,ADAN
E_axillary_L,J_per_m3,400000,ADAN_86
u_ext_axillary_L,J_per_m3,0,user_defined
theta_axillary_L,dimensionless,0,user_defined
K_m_axillary_L,Js_per_m3,30000,Toro_2021
l_brachial_L,metre,0.2231191,ADAN
r_us_brachial_L,metre,0.001952635,ADAN
E_brachial_L,J_per_m3,400000,ADAN_86
u_ext_brachial_L,J_per_m3,0,user_defined
theta_brachial_L,dimensionless,0,user_defined
K_m_brachial_L,Js_per_m3,30000,Toro_2021
l_radial_L,metre,0.27241359,ADAN
r_us_radial_L,metre,0.0012776195,ADAN
E_radial_L,J_per_m3,400000,ADAN_86
u_ext_radial_L,J_per_m3,0,user_defined
theta_radial_L,dimensionless,0,user_defined
K_m_radial_L,Js_per_m3,30000,Toro_2021
l_ulnar_L_A,metre,0.02975943,ADAN
r_us_ulnar_L_A,metre,0.0013900251,ADAN
E_ulnar_L_A,J_per_m3,400000,ADAN_86
u_ext_ulnar_L_A,J_per_m3,0,user_defined
theta_ulnar_L_A,dimensionless,0,user_defined
K_m_ulnar_L_A,Js_per_m3,30000,Toro_2021
l_superficial_palmar_branch_of_radial_L,metre,0.04510631,ADAN
r_us_superficial_palmar_branch_of_radial_L,metre,0.000637,ADAN
E_superficial_palmar_branch_of_radial_L,J_per_m3,400000,ADAN_86
u_ext_superficial_palmar_branch_of_radial_L,J_per_m3,0,user_defined
theta_superficial_palmar_branch_of_radial_L,dimensionless,0,user_defined
K_m_superficial_palmar_branch_of_radial_L,Js_per_m3,30000,Toro_2021
l_ulnar_L_B,metre,0.23927701,ADAN
r_us_ulnar_L_B,metre,0.0012275251,ADAN
E_ulnar_L_B,J_per_m3,400000,ADAN_86
u_ext_ulnar_L_B,J_per_m3,0,user_defined
theta_ulnar_L_B,dimensionless,0,user_defined
K_m_ulnar_L_B,Js_per_m3,30000,Toro_2021
l_superficial_palmar_arch_L,metre,0.05174761,ADAN
r_us_superficial_palmar_arch_L,metre,0.00086,ADAN
E_superficial_palmar_arch_L,J_per_m3,400000,ADAN_86
u_ext_superficial_palmar_arch_L,J_per_m3,0,user_defined
theta_superficial_palmar_arch_L,dimensionless,0,user_defined
K_m_superficial_palmar_arch_L,Js_per_m3,30000,Toro_2021
l_digital_L_1,metre,0.03295301,ADAN
r_us_digital_L_1,metre,0.000657,ADAN
E_digital_L_1,J_per_m3,400000,ADAN_86
u_ext_digital_L_1,J_per_m3,0,user_defined
theta_digital_L_1,dimensionless,0,user_defined
K_m_digital_L_1,Js_per_m3,30000,Toro_2021
l_digital_L_2,metre,0.03757938,ADAN
r_us_digital_L_2,metre,0.000657,ADAN
E_digital_L_2,J_per_m3,400000,ADAN_86
u_ext_digital_L_2,J_per_m3,0,user_defined
theta_digital_L_2,dimensionless,0,user_defined
K_m_digital_L_2,Js_per_m3,30000,Toro_2021
R_T_digital_L_1_T,Js_per_m6,-1,to_be_identified
C_T_digital_L_1_T,m6_per_J,1E-11,to_be_identified
u_ext_digital_L_1_T,J_per_m3,0,user_defined
R_T_digital_L_2_T,Js_per_m6,-1,to_be_identified
C_T_digital_L_2_T,m6_per_J,1E-11,to_be_identified
u_ext_digital_L_2_T,J_per_m3,0,user_defined
