environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7556500256084
0.002,-47.7451364769419
0.003,-47.7433064451638
0.004,-47.7454575646086
0.005,-47.7491329089532
0.006,-47.7529584570247
0.007,-47.7561671169347
0.008,-47.7583442400719
0.009,-47.7592826068425
0.01,-47.7588965657352
0.011,-47.7571726575605
0.012,-47.7541394537161
0.013,-47.7498481874632
0.014,-47.7443630138057
0.015,-47.7377546825202
0.016,-47.7300956408068
0.017,-47.7214575069247
0.018,-47.7119087014778
0.019,-47.7015152137976
0.02,-47.6903400274642
0.021,-47.6784425153251
0.022,-47.6658783247818
0.023,-47.6526991607385
0.024,-47.6389529079711
0.025,-47.6246841713766
0.026,-47.6099344316296
0.027,-47.5947422099205
0.028,-47.5791432228504
0.029,-47.5631704387779
0.03,-47.5468543921868
0.031,-47.5302231433137
0.032,-47.5133029572977
0.033,-47.4961176786087
0.034,-47.4786898317491
0.035,-47.4610399377598
0.036,-47.4431871210826
0.037,-47.4251491280085
0.038,-47.4069422491325
0.039,-47.3885815934104
0.04,-47.3700811154267
0.041,-47.351453612448
0.042,-47.3327109757952
0.043,-47.3138641474062
0.044,-47.294923247597
0.045,-47.2758975750194
0.046,-47.2567958377414
0.047,-47.2376261360978
0.048,-47.2183955124657
0.049,-47.1991110276546
0.05,-47.1797791793649
0.051,-47.1604054307735
0.052,-47.1409951896351
0.053,-47.121553612132
0.054,-47.1020851570726
0.055,-47.0825938173076
0.056,-47.0630836056651
0.057,-47.0435580586239
0.058,-47.0240202345686
0.059,-47.0044731797182
0.06,-46.9849196216448
0.061,-46.9653619349279
0.062,-46.9458024306541
0.063,-46.926243202183
0.064,-46.9066860662007
0.065,-46.8871327499228
0.066,-46.8675848626737
0.067,-46.8480437906854
0.068,-46.8285107614356
0.069,-46.8089869886045
0.07,-46.789473514231
0.071,-46.7699711788605
0.072,-46.7504808502148
0.073,-46.7310032653516
0.074,-46.711538998461
0.075,-46.6920886229565
0.076,-46.6726526157181
0.077,-46.6532313284034
0.078,-46.6338250951576
0.079,-46.6144342041649
