environment | time (second),hrv | V (millivolt)
0,-47.787168
0.0001,-47.7813168201612
0.0002,-47.7757885394461
0.0003,-47.7707959157316
0.0004,-47.7662482047975
0.0005,-47.7620798363889
0.0006,-47.7582409178729
0.0007,-47.7546919238609
0.0008,-47.7514008651885
0.0009,-47.7483411716722
0.001,-47.7454904191384
0.0011,-47.7428293882958
0.0012,-47.7403414193643
0.0013,-47.7380119036289
0.0014,-47.7358279124313
0.0015,-47.7337779180393
0.0016,-47.7318515627618
0.0017,-47.7300394758361
0.0018,-47.7283331355947
0.0019,-47.7267247539118
0.002,-47.7252071793473
0.0021,-47.7237738157019
0.0022,-47.7224185594361
0.0023,-47.7211357539129
0.0024,-47.7199201380881
0.0025,-47.7187668064334
0.0026,-47.7176711750683
0.0027,-47.7166289535091
0.0028,-47.7156361204494
0.0029,-47.7146889024559
0.003,-47.7137837563615
0.0031,-47.7129173470116
0.0032,-47.7120865416725
0.0033,-47.7112883771511
0.0034,-47.7105200726822
0.0035,-47.709778993559
0.0036,-47.709062669287
0.0037,-47.7083687598455
0.0038,-47.7076950610795
0.0039,-47.7070394915502
0.004,-47.706400085159
0.0041,-47.7057749943789
0.0042,-47.7051624634745
0.0043,-47.7045608274353
0.0044,-47.7039685460555
0.0045,-47.7033841320335
0.0046,-47.7028061673684
0.0047,-47.7022333569534
0.0048,-47.7016644633548
0.0049,-47.7010982848214
0.005,-47.7005337209334
0.0051,-47.6999697494187
0.0052,-47.6994053675111
0.0053,-47.6988396454524
0.0054,-47.6982717148777
0.0055,-47.6977007432056
0.0056,-47.6971259498232
0.0057,-47.6965466114916
0.0058,-47.6959620310199
0.0059,-47.6953715546573
0.006,-47.6947745816551
0.0061,-47.6941705305133
0.0062,-47.6935588570903
0.0063,-47.6929390599062
0.0064,-47.6923106589581
0.0065,-47.6916732026067
0.0066,-47.6910262740117
0.0067,-47.690369479826
0.0068,-47.6897024473226
0.0069,-47.6890248328827
0.007,-47.6883363171661
0.0071,-47.6876365958943
0.0072,-47.6869253886518
0.0073,-47.6862024378634
0.0074,-47.6854674984553
0.0075,-47.6847203446281
0.0076,-47.6839607700468
0.0077,-47.6831885796381
0.0078,-47.6824035940368
0.0079,-47.6816056558446
0.008,-47.6807946103129
0.0081,-47.679970316866
0.0082,-47.6791326448814
0.0083,-47.6782814767127
0.0084,-47.6774167309868
0.0085,-47.6765382968428
0.0086,-47.6756460847845
0.0087,-47.6747400118045
0.0088,-47.6738200103073
0.0089,-47.6728860521988
0.009,-47.6719380638394
