environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7392878286741
0.002,-47.7036614443451
0.003,-47.6711620642554
0.004,-47.6390104308865
0.005,-47.6059169710857
0.006,-47.5712244815532
0.007,-47.5346112202215
0.008,-47.4959436495459
0.009,-47.4551950271376
0.01,-47.4123978314214
0.011,-47.3676167408254
0.012,-47.320932775349
0.013,-47.2724336267172
0.014,-47.2222075247576
0.015,-47.1703419887227
0.016,-47.1169202857727
0.017,-47.0620202516116
0.018,-47.0057147262492
0.019,-46.9480709992288
0.02,-46.8891506621419
0.021,-46.8290097523295
0.022,-46.7676988469764
0.023,-46.7052634011061
0.024,-46.6417441790558
0.025,-46.5771773318517
0.026,-46.5115945438863
0.027,-46.445023258862
0.028,-46.377486877651
0.029,-46.3090050337764
0.03,-46.2395936889599
0.031,-46.1692654362983
0.032,-46.0980295275925
0.033,-46.0258921007508
0.034,-45.9528562120298
0.035,-45.8789220158122
0.036,-45.8040867456342
0.037,-45.7283449172781
0.038,-45.6516881174336
0.039,-45.5741055001841
0.04,-45.4955837072797
0.041,-45.416106093903
0.042,-45.3356542247979
0.043,-45.2542072333848
0.044,-45.1717404383896
0.045,-45.0882274535515
0.046,-45.0036395688321
0.047,-44.9179443131159
0.048,-44.8311068191675
0.049,-44.7430899080649
0.05,-44.6538525509826
0.051,-44.5633506132842
0.052,-44.471537455365
0.053,-44.3783623194688
0.054,-44.2837705844554
0.055,-44.1877047600549
0.056,-44.0901027167608
0.057,-43.9908974803125
0.058,-43.890018790708
0.059,-43.7873908854558
0.06,-43.6829316096452
0.061,-43.5765551563764
0.062,-43.468168950365
0.063,-43.3576717092571
0.064,-43.2449580418131
0.065,-43.1299140639109
0.066,-43.0124140001919
0.067,-42.8923272060171
0.068,-42.769512251842
0.069,-42.6438112603541
0.07,-42.5150604865809
0.071,-42.3830821440648
0.072,-42.2476745736317
0.073,-42.1086289587516
0.074,-41.9657174416761
0.075,-41.8186870400051
0.076,-41.6672640146767
0.077,-41.511146113834
0.078,-41.3500004701938
0.079,-41.1834611346702
0.08,-41.0111222662278
0.081,-40.8325367724177
0.082,-40.6472044453686
0.083,-40.4545739818845
0.084,-40.2540164874444
0.085,-40.0448406080201
0.086,-39.8262410105676
0.087,-39.5973312027626
0.088,-39.3570844312649
0.089,-39.1043293041194
0.09,-38.8376966431485
0.091,-38.5555982077267
0.092,-38.2561771649862
0.093,-37.9372455110294
0.094,-37.596194422241
0.095,-37.229880485355
0.096,-36.8344777377341
0.097,-36.4052711342595
0.098,-35.9363633178821
0.099,-35.4202878430872
0.1,-34.8473762380521
0.101,-34.2047315909144
0.102,-33.4748776223068
0.103,-32.6334045965592
0.104,-31.6445027688538
0.105,-30.4537134645946
0.106,-28.9725721119027
0.107,-27.047110740613
0.108,-24.3850223994178
0.109,-20.397563061483
0.11,-14.1176539467404
0.111,-5.66568544718957
0.112,2.29725075449969
0.113,8.24047848265124
0.114,12.4653506770716
0.115,15.5190713979251
0.116,17.7814257571255
0.117,19.4986479614453
0.118,20.8333810711635
0.119,21.894886205958
0.12,22.7575079178702
0.121,23.4723899474626
0.122,24.0750541335895
0.123,24.5903860392069
0.124,25.0359527026095
0.125,25.4242731221609
0.126,25.7643646790953
0.127,26.0627952374463
0.128,26.3244541399394
0.129,26.5530455237287
0.13,26.7514458327053
0.131,26.9219646053222
0.132,27.066508972353
0.133,27.186691468512
0.134,27.2839089038222
0.135,27.3594075814503
0.136,27.4143188401746
0.137,27.4496783750118
0.138,27.4664444357492
0.139,27.4655125508376
0.14,27.4477284634189
0.141,27.4138755995775
0.142,27.3647018937462
0.143,27.3009072863714
0.144,27.223155603815
0.145,27.1320705049715
