environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7428967497942
0.002,-47.6923500949104
0.003,-47.6334205409959
0.004,-47.5674503355429
0.005,-47.4955853418146
0.006,-47.4186151446849
0.007,-47.3370801274131
0.008,-47.2513588481852
0.009,-47.1617240520683
0.01,-47.0683763858562
0.011,-46.9714652610408
0.012,-46.8711015129578
0.013,-46.7673657706727
0.014,-46.6603133215201
0.015,-46.5499768678349
0.016,-46.4363686322501
0.017,-46.319482102121
0.018,-46.1992925905101
0.019,-46.0757572985636
0.02,-45.9488152487277
0.021,-45.8183869687862
0.022,-45.6843743940318
0.023,-45.5466597515323
0.024,-45.4051045010762
0.025,-45.2595489949343
0.026,-45.1098091298986
0.027,-44.955675684765
0.028,-44.7969126880742
0.029,-44.633252160806
0.03,-44.464393556977
0.031,-44.2900000180899
0.032,-44.1096902334882
0.033,-43.9230380242447
0.034,-43.7295646244688
0.035,-43.5287254496549
0.036,-43.319910559584
0.037,-43.1024292422638
0.038,-42.875488895163
0.039,-42.638205740189
0.04,-42.389548519271
0.041,-42.1283287997539
0.042,-41.8531726930247
0.043,-41.5624801510761
0.044,-41.2543752517084
0.045,-40.926638944729
0.046,-40.5766298143377
0.047,-40.2011709659798
0.048,-39.7963626985412
0.049,-39.3573980874394
0.05,-38.8782721277734
0.051,-38.3513339951557
0.052,-37.766699519103
0.053,-37.1111595977058
0.054,-36.3667421310793
0.055,-35.5082071679268
0.056,-34.4985490969027
0.057,-33.2808985315697
0.058,-31.7626496317839
0.059,-29.7808990747303
0.06,-27.0241657056471
0.061,-22.8663353073288
0.062,-16.3506637040205
0.063,-7.85050252431574
0.064,-0.0282873421476922
0.065,5.78086450828038
0.066,9.87666930666049
0.067,12.7832133417555
0.068,14.8757536983699
0.069,16.4025375745503
0.07,17.5300916619091
0.071,18.3716799764083
0.072,19.0051338658992
0.073,19.4844021340463
0.074,19.8472219058899
0.075,20.1202569744932
0.076,20.3225539872627
0.077,20.4678844099397
0.078,20.5663425541091
0.079,20.6254371766201
0.08,20.6508470443945
0.081,20.6469451727817
0.082,20.6171633159527
0.083,20.5642461987474
0.084,20.4904380554186
0.085,20.3976015735192
0.086,20.2873175557711
0.087,20.1609480579686
0.088,20.0196826001901
0.089,19.8645718512851
0.09,19.6965509115231
0.091,19.516461978148
0.092,19.3250688000011
0.093,19.1230642569118
0.094,18.9110779589612
0.095,18.689684069765
0.096,18.4594075978371
0.097,18.2207274922507
0.098,17.9740832883428
0.099,17.7198747436326
0.1,17.4584654308323
0.101,17.1901865209857
0.102,16.9153383372938
0.103,16.6341930829323
0.104,16.3469976071906
0.105,16.0539749778188
0.106,15.7553230743182
0.107,15.4512231593207
0.108,15.1418368712668
0.109,14.8273007806801
0.11,14.507739800464
0.111,14.1832692345787
0.112,13.8539811083849
0.113,13.5199578708973
0.114,13.1812714459461
0.115,12.8379808913646
0.116,12.4901352192721
0.117,12.1377709216097
0.118,11.7809217804225
0.119,11.4196093265971
0.12,11.0538495413898
0.121,10.6836520876801
0.122,10.3090191110336
0.123,9.92994684590078
0.124,9.5464265328295
0.125,9.15844441459573
0.126,8.76598204337789
0.127,8.36901682377376
0.128,7.96752230233605
0.129,7.56146822272742
0.13,7.15082114574546
0.131,6.73554448424572
0.132,6.31559872888402
0.133,5.89094141155311
0.134,5.46152741915725
0.135,5.02730912685285
0.136,4.58823599846671
0.137,4.14425550113593
0.138,3.69531222745641
0.139,3.24134834540339
0.14,2.78230367661481
0.141,2.31811416873687
0.142,1.84871364887862
0.143,1.37403176494641
0.144,0.893994768567233
0.145,0.40852443454307
0.146,-0.082462466030323
0.147,-0.579053969632531
0.148,-1.08134457065809
0.149,-1.58943478166576
0.15,-2.10343528877372
0.151,-2.62346565402395
0.152,-3.14965691734831
0.153,-3.68215217495745
0.154,-4.22110783002704
0.155,-4.76669352460314
0.156,-5.31910079765214
0.157,-5.87854508678829
0.158,-6.44526654540217
0.159,-7.01953080415862
0.16,-7.60163576229411
0.161,-8.19192079154104
0.162,-8.79076987484426
0.163,-9.39861342196636
0.164,-10.0159372319429
0.165,-10.6432995864903
0.166,-11.2813302478234
0.167,-11.9307425904678
0.168,-12.5923548956133
0.169,-13.2670892883126
0.17,-13.9560009031552
0.171,-14.6602863560555
0.172,-15.3813033400882
0.173,-16.1205913112687
0.174,-16.8798902522283
0.175,-17.6611612319426
0.176,-18.4666024702581
0.177,-19.2986588452088
0.178,-20.1600153598007
0.179,-21.0535630308465
0.18,-21.982320022172
0.181,-22.9492934892591
0.182,-23.9572628743535
0.183,-25.0084892309453
0.184,-26.1043742024326
0.185,-27.2450998803049
0.186,-28.4293783859176
0.187,-29.6542086447376
0.188,-30.914977570995
0.189,-32.2055299226124
0.19,-33.5184852550189
0.191,-34.8456358844279
0.192,-36.1782763006324
0.193,-37.5075502031379
0.194,-38.8247456697181
0.195,-40.1215416098202
0.196,-41.3901712682571
0.197,-42.6235602593944
0.198,-43.8154274439913
0.199,-44.9603580714029
0.2,-46.0538522192133
0.201,-47.0923530041751
0.202,-48.0732412737522
0.203,-48.9948315712745
0.204,-49.8563030795434
0.205,-50.6576712601524
0.206,-51.3996402754578
0.207,-52.0835917140853
0.208,-52.7114026861371
0.209,-53.2853910570051
0.21,-53.8082089225686
0.211,-54.2827263058304
0.212,-54.7119638339052
0.213,-55.0990099544024
0.214,-55.44695435274
0.215,-55.758834362293
0.216,-56.037592462653
0.217,-56.2860441171595
0.218,-56.5068549183342
0.219,-56.7025256917001
0.22,-56.8753847192932
0.221,-57.0275846315823
0.222,-57.161104337827
0.223,-57.2777538645495
0.224,-57.3791816058739
0.225,-57.4668831490342
0.226,-57.542210817761
0.227,-57.6063823182436
0.228,-57.660501397503
0.229,-57.7055540999415
0.23,-57.7424224645733
0.231,-57.7718968630756
0.232,-57.7946862773135
0.233,-57.8114252393917
0.234,-57.822680363699
0.235,-57.8289578441413
0.236,-57.8307100934219
0.237,-57.8283417211952
0.238,-57.8222143478662
0.239,-57.8126513947942
0.24,-57.7999423926809
0.241,-57.7843468854941
0.242,-57.7660974365662
0.243,-57.7454031039672
0.244,-57.7224516631094
0.245,-57.69741220173
0.246,-57.6704371304054
0.247,-57.6416641242586
0.248,-57.6112177997445
0.249,-57.5792112894195
0.25,-57.5457471781031
0.251,-57.5109183800266
0.252,-57.4748099127343
0.253,-57.4374995777315
0.254,-57.3990587566074
0.255,-57.3595528188217
0.256,-57.3190421040944
0.257,-57.2775823048066
0.258,-57.2352253858837
0.259,-57.1920183255007
0.26,-57.1480066747552
0.261,-57.1032304031416
0.262,-57.0577285722082
0.263,-57.0115371884186
0.264,-56.9646899315207
0.265,-56.9172192760469
0.266,-56.8691555600595
0.267,-56.8205274356425
0.268,-56.7713626243007
0.269,-56.7216866194251
0.27,-56.6715243285445
0.271,-56.620899060781
0.272,-56.5698331880391
0.273,-56.5183481877567
0.274,-56.4664646476886
0.275,-56.414202286133
0.276,-56.3615801900152
0.277,-56.3086169989179
0.278,-56.2553305660111
0.279,-56.201737543923
0.28,-56.1478552074493
0.281,-56.0937002195718
0.282,-56.0392870942302
0.283,-55.9846317447016
0.284,-55.9297492377704
0.285,-55.8746537200089
0.286,-55.8193589233109
0.287,-55.7638787100419
0.288,-55.7082263405718
0.289,-55.6524145097657
0.29,-55.5964558563619
0.291,-55.5403626200859
0.292,-55.4841466808223
0.293,-55.4278196884796
0.294,-55.3713930247297
0.295,-55.3148777254206
0.296,-55.258284516448
0.297,-55.2016239969161
0.298,-55.1449064513747
0.299,-55.0881416532109
0.3,-55.0313393975314
0.301,-54.9745091334208
0.302,-54.9176599106833
0.303,-54.8608005777763
0.304,-54.8039397349176
0.305,-54.7470857031199
0.306,-54.690246557004
0.307,-54.6334300751473
0.308,-54.5766437870658
0.309,-54.5198950111097
0.31,-54.46319076845
0.311,-54.4065378466743
0.312,-54.349942691321
0.313,-54.2934115018524
0.314,-54.2369502581686
0.315,-54.1805646458814
0.316,-54.1242600720805
0.317,-54.0680416843947
0.318,-54.0119143543474
0.319,-53.9558828118103
0.32,-53.8999514216483
0.321,-53.844124324919
0.322,-53.7884053559128
0.323,-53.7327980728561
0.324,-53.6773058217151
0.325,-53.6219316658446
0.326,-53.5666784353935
0.327,-53.5115486643328
0.328,-53.4565446366925
0.329,-53.401668544253
0.33,-53.34692223854
0.331,-53.2923073457135
0.332,-53.237825191483
0.333,-53.183476783237
0.334,-53.1292630158572
0.335,-53.0751844773462
0.336,-53.0212414640506
0.337,-52.9674340294459
0.338,-52.9137621536861
0.339,-52.8602256490995
0.34,-52.8068240445772
0.341,-52.7535565521801
0.342,-52.7004223258559
0.343,-52.6474201988648
0.344,-52.5945488180126
0.345,-52.5418066778164
0.346,-52.489192156609
0.347,-52.4367033699367
0.348,-52.3843381418642
0.349,-52.3320941975422
0.35,-52.279968919179
0.351,-52.2279594480643
0.352,-52.1760628240201
0.353,-52.1242764148044
0.354,-52.0725973385093
0.355,-52.0210223310671
0.356,-51.9695476847171
0.357,-51.9181697504482
0.358,-51.8668847630802
0.359,-51.8156888472664
0.36,-51.7645779430262
0.361,-51.7135478634646
0.362,-51.6625942549446
0.363,-51.6117125361056
0.364,-51.5608982430115
0.365,-51.5101464237405
0.366,-51.459452429072
0.367,-51.4088113096453
0.368,-51.3582177820183
0.369,-51.3076669954687
0.37,-51.25715312719
0.371,-51.2066711860436
0.372,-51.1562152597216
0.373,-51.1057797964785
0.374,-51.0553590476822
0.375,-51.0049468392877
0.376,-50.9545374785609
0.377,-50.9041241761492
0.378,-50.8537010391732
0.379,-50.8032619011337
0.38,-50.7528001139788
0.381,-50.7023086745064
0.382,-50.6517812626026
0.383,-50.6012111812556
0.384,-50.5505910606719
0.385,-50.4999138902898
0.386,-50.4491725524298
0.387,-50.3983596991241
0.388,-50.3474676241996
0.389,-50.2964887959923
0.39,-50.2454154468057
0.391,-50.1942395831357
0.392,-50.1429530512406
0.393,-50.091547667066
0.394,-50.0400150563578
0.395,-49.988346537248
0.396,-49.9365334290875
0.397,-49.8845668747218
0.398,-49.8324377942585
0.399,-49.780136739317
0.4,-49.7276543817205
0.401,-49.6749811221797
0.402,-49.6221069166348
0.403,-49.5690215529185
0.404,-49.515714848828
0.405,-49.4621763168611
0.406,-49.4083946544089
0.407,-49.3543589709883
0.408,-49.3000579671847
0.409,-49.2454799207707
0.41,-49.1906124551119
0.411,-49.1354435400827
0.412,-49.0799606507749
0.413,-49.0241504394297
0.414,-48.9679994299247
0.415,-48.9114941233944
0.416,-48.8546205155252
0.417,-48.7973631481974
0.418,-48.7397074487177
0.419,-48.6816380468125
0.42,-48.6231387748233
0.421,-48.5641924390915
0.422,-48.504782453024
0.423,-48.4448913739533
0.424,-48.3845001244992
0.425,-48.3235897227361
0.426,-48.2621409921775
0.427,-48.2001338109271
0.428,-48.1375455099752
0.429,-48.0743550729313
0.43,-48.010540041071
0.431,-47.9460763046262
0.432,-47.8809381548721
0.433,-47.8151009246937
0.434,-47.7485384033782
0.435,-47.6812209295341
0.436,-47.6131197287395
0.437,-47.5442052915277
0.438,-47.47444622504
0.439,-47.4038065350945
0.44,-47.3322533739816
0.441,-47.2597511661884
