environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7264822565606
0.002,-47.659099442867
0.003,-47.5827320880133
0.004,-47.4985924932537
0.005,-47.407724483146
0.006,-47.3108329216665
0.007,-47.2083840088924
0.008,-47.1006880013841
0.009,-46.9879519131625
0.01,-46.8703107658256
0.011,-46.7478465433501
0.012,-46.6205992931425
0.013,-46.4885740645794
0.014,-46.3517443962803
0.015,-46.2100539426772
0.016,-46.0634172631184
0.017,-45.9117199806606
0.018,-45.7548177266992
0.019,-45.5925341535489
0.02,-45.4246592556316
0.021,-45.2509455287058
0.022,-45.0711086202242
0.023,-44.8848190388298
0.024,-44.6916971155445
0.025,-44.4913120566298
0.026,-44.2831696764612
0.027,-44.0667026485499
0.028,-43.8412665304392
0.029,-43.6061238370508
0.03,-43.3604232309648
0.031,-43.1031858860234
0.032,-42.8332964787717
0.033,-42.5494455851236
0.034,-42.2500970937008
0.035,-41.933448408857
0.036,-41.5973681717719
0.037,-41.2393145395267
0.038,-40.856224025014
0.039,-40.4443637179032
0.04,-39.9991622555335
0.041,-39.5148633047789
0.042,-38.9841418477647
0.043,-38.3975400895132
0.044,-37.7425404657341
0.045,-37.0021590370941
0.046,-36.1524731532897
0.047,-35.1586889659948
0.048,-33.9676170371963
0.049,-32.4926689425704
0.05,-30.5820460222452
0.051,-27.9424063693688
0.052,-23.9547215796482
0.053,-17.4585572434482
0.054,-8.25025173204388
0.055,0.630731712101659
0.056,7.22196057113427
0.057,11.8406476605667
0.058,15.1354043401167
0.059,17.5498132600662
0.06,19.365582510739
0.061,20.7660784132059
0.062,21.873110589148
0.063,22.7687512046789
0.064,23.5089185833249
0.065,24.1320868146847
0.066,24.664940991568
0.067,25.1261283729175
0.068,25.5287797233678
0.069,25.8822223408778
0.07,26.1931709075502
0.071,26.4665317431672
0.072,26.7059682336097
0.073,26.9142873539158
0.074,27.0937036852353
0.075,27.2460258135732
0.076,27.3727765675448
0.077,27.4752766797754
0.078,27.554703878797
0.079,27.6121307911477
0.08,27.6485495341016
0.081,27.6648879517761
0.082,27.6620240254733
0.083,27.6407926854634
0.084,27.6019897976603
0.085,27.5463764263964
0.086,27.4746819130431
0.087,27.3876052965759
0.088,27.2858163861246
0.089,27.1699568723611
0.09,27.0406411636296
0.091,26.8984569234534
0.092,26.7439645302386
0.093,26.577698006697
0.094,26.4001705272446
0.095,26.2118611706186
0.096,26.0132328580616
0.097,25.8047149681772
0.098,25.5867205966203
0.099,25.359634666861
0.1,25.1238185282413
0.101,24.8796128952666
0.102,24.6273377347627
0.103,24.3672810711298
0.104,24.0997168089116
0.105,23.824900697117
0.106,23.5430661436169
0.107,23.2544264215877
0.108,22.9591763378605
0.109,22.6574933848657
0.11,22.349538408127
0.111,22.0354560402015
0.112,21.7153755074613
0.113,21.3894113726219
0.114,21.0576650367683
0.115,20.7202237007866
0.116,20.3771636847022
0.117,20.028547489906
0.118,19.6744287498946
0.119,19.3148493972565
0.12,18.9498421774625
0.121,18.5794316560111
0.122,18.2036322938662
0.123,17.8224519538593
0.124,17.4358896954303
0.125,17.043938859784
0.126,16.6465849875277
0.127,16.2438072496919
0.128,15.8355805892592
0.129,15.4218727800491
0.13,15.0026465296381
0.131,14.5778598859885
0.132,14.1474683978035
0.133,13.7114200795944
0.134,13.2696581408254
0.135,12.822126940112
0.136,12.3687643779138
0.137,11.9095032657482
0.138,11.4442757389327
0.139,10.9730140496823
0.14,10.4956441406815
0.141,10.0120895607265
0.142,9.52227285014244
0.143,9.02611242018299
0.144,8.52352016518816
0.145,8.01441062457493
0.146,7.49870194438254
0.147,6.97630518982016
0.148,6.44713116828878
0.149,5.91108782174786
0.15,5.36808174321994
0.151,4.81801721171677
0.152,4.26079666773496
0.153,3.69632079387303
0.154,3.12448743197039
0.155,2.54519219109747
0.156,1.95832624562533
0.157,1.36377814280209
0.158,0.761430237758962
0.159,0.151161126779113
0.16,-0.467159428113869
0.161,-1.09367000137202
0.162,-1.72851886312086
0.163,-2.37186591628769
0.164,-3.02388558905639
0.165,-3.68476980142778
0.166,-4.35473110848571
0.167,-5.03400586537734
0.168,-5.72285923207915
0.169,-6.42159105619461
0.17,-7.13054197509074
0.171,-7.85009990614259
0.172,-8.58070906631294
0.173,-9.32288096828692
0.174,-10.077204840494
0.175,-10.8443622317894
0.176,-11.6251413200224
0.177,-12.4204548676799
0.178,-13.2313584423227
0.179,-14.0590734274048
0.18,-14.9050057951296
0.181,-15.7707803107568
0.182,-16.6582573139256
0.183,-17.5695521237196
0.184,-18.507055490618
0.185,-19.473432589424
0.186,-20.4715911788777
0.187,-21.5046054745395
0.188,-22.5755595899477
0.189,-23.6872994595329
0.19,-24.8420814762265
0.191,-26.041168956417
0.192,-27.2844248272696
0.193,-28.5699912690809
0.194,-29.8941582525768
0.195,-31.2514119196426
0.196,-32.6346765912451
0.197,-34.0356796868911
0.198,-35.445362361694
0.199,-36.8542836812895
0.2,-38.2529733916991
0.201,-39.6322259012937
0.202,-40.9833332914911
0.203,-42.2982644108301
0.204,-43.5698083099985
0.205,-44.7916750241197
0.206,-45.958587099357
0.207,-47.0662919669532
0.208,-48.1116688260321
0.209,-49.0926078968709
0.21,-50.0080198324645
0.211,-50.8577785731797
0.212,-51.6426016355183
0.213,-52.363985922821
0.214,-53.0240373604985
0.215,-53.6253451611123
0.216,-54.1708904746003
0.217,-54.6639267419988
0.218,-55.1078677642343
0.219,-55.5061984236733
0.22,-55.8623968172821
0.221,-56.179871071664
0.222,-56.4619096615359
0.223,-56.711645561975
0.224,-56.9320313387969
0.225,-57.1258229121581
0.226,-57.2955724045752
0.227,-57.4436265859682
0.228,-57.5721309329326
0.229,-57.6830372715295
0.23,-57.7781128718002
0.231,-57.8589503393952
0.232,-57.9269865222487
0.233,-57.9835093692305
0.234,-58.0296669617364
0.235,-58.0664851421792
0.236,-58.0948812786107
0.237,-58.1156722173272
0.238,-58.1295846685853
0.239,-58.1372651500336
0.24,-58.1392891303535
0.241,-58.1361681015853
0.242,-58.1283558731475
0.243,-58.1162559701198
0.244,-58.1002278055892
0.245,-58.0805916748569
0.246,-58.0576330697601
0.247,-58.0316066463786
0.248,-58.0027396250043
0.249,-57.9712359586718
0.25,-57.937276892914
0.251,-57.9010269895999
0.252,-57.8626300417528
0.253,-57.8222190824381
0.254,-57.7799120184646
0.255,-57.7358175628932
0.256,-57.690032991221
0.257,-57.6426481771392
0.258,-57.5937433555612
0.259,-57.5433924814589
0.26,-57.4916625716678
0.261,-57.4386153492195
0.262,-57.3843076247778
0.263,-57.3287910874118
0.264,-57.2721150689633
0.265,-57.2143263800729
0.266,-57.1554627796339
0.267,-57.0955672310044
0.268,-57.0346801886479
0.269,-56.9728346166469
0.27,-56.910064264386
0.271,-56.8464006010608
0.272,-56.7818723804187
0.273,-56.7165068027861
0.274,-56.6503315196641
0.275,-56.5833716531327
0.276,-56.5156523731625
0.277,-56.4471984848429
0.278,-56.378033194351
0.279,-56.3081796242187
0.28,-56.237660142592
0.281,-56.1664957578802
0.282,-56.0947073814618
0.283,-56.0223152887653
0.284,-55.9493389350154
0.285,-55.8757979919481
0.286,-55.8017114022919
0.287,-55.7270978816869
0.288,-55.6519759628895
0.289,-55.5763638450711
0.29,-55.5002791713256
0.291,-55.4237395768139
0.292,-55.3467621821993
0.293,-55.2693638799874
0.294,-55.191561385002
0.295,-55.1133710576341
0.296,-55.0348090078024
0.297,-54.9558910918489
0.298,-54.8766329023535
0.299,-54.7970497144015
0.3,-54.7171565843427
0.301,-54.6369683146316
0.302,-54.5564994333015
0.303,-54.4757640605904
0.304,-54.3947760664272
0.305,-54.3135488873773
0.306,-54.2320955188005
0.307,-54.1504286691599
0.308,-54.0685608621732
0.309,-53.9865041032697
0.31,-53.9042701140381
0.311,-53.8218702813747
0.312,-53.7393152767137
0.313,-53.6566153856845
0.314,-53.5737804844052
0.315,-53.4908199858177
