environment | time (second),hrv | V (millivolt)
0,-47.787168
0.0001,-47.781392576908
0.0002,-47.7750024735556
0.0003,-47.7682547545744
0.0004,-47.7611016954016
0.0005,-47.7535180489305
0.0006,-47.7454924478068
0.0007,-47.7370214966332
0.0008,-47.7281075362712
0.0009,-47.7187563672569
0.001,-47.7089761676942
0.0011,-47.6987766461149
0.0012,-47.6881684871185
0.0013,-47.677162923385
0.0014,-47.6657714559512
0.0015,-47.6540056330231
0.0016,-47.6418769011021
0.0017,-47.6293965006778
0.0018,-47.6165753822922
0.0019,-47.6034241507603
0.002,-47.5899530312222
0.0021,-47.5761718478832
0.0022,-47.5620900079543
0.0023,-47.5477164949911
0.0024,-47.5330598711748
0.0025,-47.5181282853809
0.0026,-47.5029294782453
0.0027,-47.4874707964247
0.0028,-47.4717592003806
0.0029,-47.4558012782336
0.003,-47.4396032592499
0.0031,-47.4231710286168
0.0032,-47.4065101425646
0.0033,-47.3896258421684
0.0034,-47.3725230667621
0.0035,-47.3552064699168
0.0036,-47.3376804284256
0.0037,-47.3199490624682
0.0038,-47.3020162384544
0.0039,-47.2838855907521
0.004,-47.2655605265777
0.0041,-47.2470442419641
0.0042,-47.2283397265417
0.0043,-47.2094497764932
0.0044,-47.1903770047506
0.0045,-47.1711238479181
0.0046,-47.1516925705432
0.0047,-47.1320852754584
0.0048,-47.1123039296795
0.0049,-47.092350364258
0.005,-47.0722262575296
0.0051,-47.0519330833288
0.0052,-47.0314723287793
0.0053,-47.0108453366306
0.0054,-46.9900533609464
0.0055,-46.9690973951326
0.0056,-46.9479784770303
0.0057,-46.9266975100768
0.0058,-46.9052552708155
0.0059,-46.8836524552292
0.006,-46.8618896693002
0.0061,-46.8399674497363
0.0062,-46.8178862496742
0.0063,-46.7956464388115
0.0064,-46.7732483240149
0.0065,-46.7506921483184
0.0066,-46.7279780930627
0.0067,-46.7051062489558
0.0068,-46.6820766252133
0.0069,-46.6588892387625
0.007,-46.6355440400356
0.0071,-46.6120409402313
0.0072,-46.5883796623273
0.0073,-46.5645599467939
0.0074,-46.5405815825871
0.0075,-46.5164442709713
0.0076,-46.4921476823451
0.0077,-46.4676912195379
0.0078,-46.4430744577293
0.0079,-46.41829692912
0.008,-46.3933580964179
0.0081,-46.3682573890591
0.0082,-46.3429939899751
0.0083,-46.3175672971711
0.0084,-46.2919765801929
0.0085,-46.2662210686663
0.0086,-46.2402999498028
