environment | time (second),hrv | V (millivolt)
0,-47.787168
0.01,-47.8169112477551
0.02,-47.8204654531272
0.03,-47.7437490905013
0.04,-47.6258429835442
0.05,-47.4857508367695
0.06,-47.3324519255285
0.07,-47.1702260073088
0.08,-47.0010621272562
0.09,-46.8257668376942
0.1,-46.6444833334969
0.11,-46.4569328892496
0.12,-46.262518526739
0.13,-46.0603543403337
0.14,-45.8492479750999
0.15,-45.62764532348
0.16,-45.3935350605264
0.17,-45.144300604204
0.18,-44.8764942712199
0.19,-44.5854874991092
0.2,-44.2649122846266
0.21,-43.9057310611439
0.22,-43.494602840085
0.23,-43.0108112000223
0.24,-42.4199529562623
0.25,-41.659311714126
0.26,-40.5974787656874
0.27,-38.886114833682
0.28,-34.9660014531679
0.29,9.32526488465374
0.3,24.2030870607546
0.31,26.2571933352922
0.32,25.6542984845367
0.33,23.468850249804
0.34,20.3119187712316
0.35,16.5090338567311
0.36,12.1701466616652
0.37,7.29269999484681
0.38,1.83182885996786
0.39,-4.26258969313344
0.4,-11.0307005571017
0.41,-18.5525179278655
0.42,-28.0930527030968
0.43,-41.5823062030249
0.44,-51.9163214144608
0.45,-56.4685722784731
0.46,-57.8344129993253
0.47,-58.0190158603886
0.48,-57.7805437632674
0.49,-57.3662247803255
0.5,-56.8655284231031
0.51,-56.3199543992842
0.52,-55.7548458522576
0.53,-55.1887482098007
0.54,-54.6360575488897
0.55,-54.107574065177
0.56,-53.6105404211535
0.57,-53.1487895417421
0.58,-52.7231969424803
0.59,-52.3323863910409
0.6,-51.9735261604662
0.61,-51.6430538051488
0.62,-51.3372310933082
0.63,-51.052503953192
0.64,-50.7856929483887
0.65,-50.5340611914506
0.66,-50.2953066874323
0.67,-50.0675159107219
0.68,-49.8491030706145
0.69,-49.638749103988
0.7,-49.4353471415347
0.71,-49.2379567471546
0.72,-49.0457668593354
0.73,-48.8580663082414
0.74,-48.6742204667665
0.75,-48.4936526416364
0.76,-48.3158290019712
0.77,-48.1402460624465
0.78,-47.9664199337084
0.79,-47.7938767049968
0.8,-47.6221434298391
0.81,-47.4507392478607
0.82,-47.2791661973819
0.83,-47.1068992554899
0.84,-46.933375081763
0.85,-46.7579788304862
0.86,-46.5800282181818
0.87,-46.3987537616153
0.88,-46.2132736917033
0.89,-46.0225614280724
0.9,-45.8254025462187
0.91,-45.6203366785623
0.92,-45.4055774033883
0.93,-45.1788992459768
0.94,-44.9374742392931
0.95,-44.6776287241919
0.96,-44.3944694306563
0.97,-44.0812860608635
0.98,-43.7285518352874
0.99,-43.3221545164094
1,-42.8400353742121
1.01,-42.2451853471422
1.02,-41.4690866408842
1.03,-40.3645917832641
1.04,-38.5233375429101
1.05,-33.8548337213015
1.06,14.1342901878011
1.07,24.5476798306504
1.08,26.0688723966139
1.09,25.1695240101968
1.1,22.8102305983783
1.11,19.5530952722084
1.12,15.6789407309076
1.13,11.2726398090633
1.14,6.32275726728123
1.15,0.783934359202721
1.16,-5.39050143509414
1.17,-12.2378650773919
1.18,-19.8809365763714
1.19,-30.0667643268913
1.2,-43.5807071293971
1.21,-52.9213243204015
1.22,-56.7573026320989
1.23,-57.8262417700734
1.24,-57.8906682537618
1.25,-57.5891274259257
1.26,-57.1321965252609
1.27,-56.5994932767386
1.28,-56.0301829638812
1.29,-55.4492119568349
1.3,-54.8749528398764
1.31,-54.3212625947318
1.32,-53.7978926501953
1.33,-53.310637609554
1.34,-52.8617264373052
1.35,-52.4505330072264
1.36,-52.0744655233108
1.37,-51.7298378941515
1.38,-51.4125768091938
1.39,-51.1187057799239
1.4,-50.8446192451764
1.41,-50.5871967455257
1.42,-50.3438141234758
1.43,-50.1122991395572
1.44,-49.8908642366385
1.45,-49.6780358711639
1.46,-49.47259014606
1.47,-49.2734984166381
1.48,-49.0798832292074
1.49,-48.8909834222654
1.5,-48.7061267120202
1.51,-48.5247080883492
1.52,-48.3461725631067
1.53,-48.1700010801583
1.54,-47.9956986420842
1.55,-47.8227839039002
1.56,-47.6507796246183
1.57,-47.4792034563428
1.58,-47.3075585929244
1.59,-47.1353237989786
1.6,-46.9619422944984
1.61,-46.7868088739616
1.62,-46.6092544782213
1.63,-46.428527188528
1.64,-46.243768234488
1.65,-46.0539810355991
