environment | time (second),hrv | V (millivolt)
0,-47.787168
0.0001,-47.7813169894516
0.0002,-47.7757890198431
0.0003,-47.7707967368147
0.0004,-47.7662493937874
0.0005,-47.7620814211742
0.0006,-47.7582429268223
0.0007,-47.7546943855326
0.0008,-47.7514038082916
0.0009,-47.7483446252916
0.001,-47.7454944125536
0.0011,-47.7428339510801
0.0012,-47.7403465812886
0.0013,-47.7380176947159
0.0014,-47.7358343629356
0.0015,-47.7337850584015
0.0016,-47.7318594236392
0.0017,-47.7300480880902
0.0018,-47.7283425302622
0.0019,-47.7267349622177
0.002,-47.7252182327472
0.0021,-47.7237857457512
0.0022,-47.7224313978896
0.0023,-47.7211495326893
0.0024,-47.7199348892477
0.0025,-47.71878256219
0.0026,-47.7176879677884
0.0027,-47.7166468157007
0.0028,-47.7156550847525
0.0029,-47.7147090016411
0.003,-47.713805023298
0.0031,-47.7129398147121
0.0032,-47.7121102432837
0.0033,-47.7113133459133
0.0034,-47.7105463420006
0.0035,-47.7098065968584
0.0036,-47.7090916401527
0.0037,-47.7083991319066
0.0038,-47.7077268681007
0.0039,-47.7070727673403
0.004,-47.7064348636195
0.0041,-47.7058113094949
0.0042,-47.7052003493735
0.0043,-47.7046003184131
0.0044,-47.7040096759229
0.0045,-47.7034269354652
0.0046,-47.7028506790092
0.0047,-47.70227961053
0.0048,-47.7017124938688
0.0049,-47.7011481270465
0.005,-47.7005854089088
0.0051,-47.7000233180928
0.0052,-47.6994608516345
0.0053,-47.6988970796438
0.0054,-47.6983311340028
0.0055,-47.6977621821443
0.0056,-47.6971894433386
0.0057,-47.6966121945496
0.0058,-47.6960297386128
0.0059,-47.6954414216832
0.006,-47.6948466431622
0.0061,-47.694244821583
0.0062,-47.6936354128695
0.0063,-47.6930179152702
0.0064,-47.692391849188
0.0065,-47.6917567629166
0.0066,-47.6911122393934
0.0067,-47.6904578855873
0.0068,-47.6897933287225
0.0069,-47.6891182249884
0.007,-47.6884322552867
0.0071,-47.6877351152974
0.0072,-47.6870265244849
0.0073,-47.6863062254115
0.0074,-47.6855739729833
0.0075,-47.6848295413415
0.0076,-47.6840727242187
0.0077,-47.6833033265415
0.0078,-47.6825211688162
0.0079,-47.6817260937737
0.008,-47.680917946664
0.0081,-47.6800965869477
0.0082,-47.6792618840513
0.0083,-47.6784137197127
0.0084,-47.6775520133046
0.0085,-47.676676653773
0.0086,-47.6757875516724
0.0087,-47.6748846240602
0.0088,-47.6739678022832
0.0089,-47.6730370595256
0.009,-47.6720923217486
0.0091,-47.6711335411334
0.0092,-47.6701606750703
0.0093,-47.6691736952984
0.0094,-47.6681726005416
0.0095,-47.6671573572547
0.0096,-47.6661279518807
0.0097,-47.665084375532
0.0098,-47.6640266293791
0.0099,-47.6629547258391
0.01,-47.6618686668776
0.0101,-47.660768464678
0.0102,-47.6596541351499
0.0103,-47.658525703207
0.0104,-47.6573831985873
0.0105,-47.6562266442634
0.0106,-47.6550560702399
0.0107,-47.6538715086743
0.0108,-47.6526729935066
0.0109,-47.6514605600898
0.011,-47.6502342448185
0.0111,-47.6489941372476
0.0112,-47.6477402609412
0.0113,-47.646472657093
0.0114,-47.6451913727152
0.0115,-47.6438964552169
0.0116,-47.6425879520853
0.0117,-47.6412659105659
0.0118,-47.6399304038964
0.0119,-47.6385815438711
0.012,-47.6372193438377
0.0121,-47.6358438624989
0.0122,-47.6344551588041
0.0123,-47.6330532917463
0.0124,-47.6316383201587
0.0125,-47.6302103025115
0.0126,-47.6287693540558
0.0127,-47.6273155339687
0.0128,-47.6258488940274
0.0129,-47.6243695026295
0.013,-47.6228774285453
0.0131,-47.6213727408128
0.0132,-47.6198555086324
0.0133,-47.6183258052972
0.0134,-47.6167837274082
0.0135,-47.615229331427
0.0136,-47.6136626910314
0.0137,-47.6120838802001
0.0138,-47.6104929731459
0.0139,-47.6088900442487
0.014,-47.6072751679889
0.0141,-47.6056484216502
0.0142,-47.6040098811589
0.0143,-47.6023596200722
0.0144,-47.6006977134437
0.0145,-47.5990242362042
0.0146,-47.5973392631007
0.0147,-47.5956428686364
0.0148,-47.5939351270096
0.0149,-47.5922161356214
0.015,-47.5904859549171
0.0151,-47.5887446595913
0.0152,-47.5869923239275
0.0153,-47.5852290216693
0.0154,-47.5834548259509
0.0155,-47.5816698092276
0.0156,-47.5798740432063
0.0157,-47.5780675987764
0.0158,-47.5762505459402
0.0159,-47.5744229537433
0.016,-47.5725848902055
0.0161,-47.570736482921
0.0162,-47.5688778232939
0.0163,-47.5670089366439
0.0164,-47.5651298936549
0.0165,-47.563240764213
0.0166,-47.5613416173521
0.0167,-47.5594325211977
0.0168,-47.5575135429128
0.0169,-47.5555847486424
0.017,-47.5536462034583
0.0171,-47.5516979713042
0.0172,-47.5497401149406
0.0173,-47.547772704111
0.0174,-47.545795965223
0.0175,-47.5438098435648
0.0176,-47.5418144065178
0.0177,-47.539809720853
0.0178,-47.5377958527062
0.0179,-47.5357728675529
0.018,-47.5337408301839
0.0181,-47.5316998046804
0.0182,-47.529649854389
0.0183,-47.5275910418975
0.0184,-47.5255234290093
0.0185,-47.5234470767195
0.0186,-47.5213621076115
0.0187,-47.5192685924797
0.0188,-47.5171665577765
0.0189,-47.5150560675931
0.019,-47.5129371856427
0.0191,-47.5108099752561
0.0192,-47.5086744993771
0.0193,-47.5065308205577
0.0194,-47.5043790009536
0.0195,-47.5022191023195
0.0196,-47.5000511860047
0.0197,-47.4978753129481
0.0198,-47.4956915452422
0.0199,-47.4934999568982
0.02,-47.4913005977268
0.0201,-47.4890935278884
0.0202,-47.4868788071883
0.0203,-47.4846564950748
0.0204,-47.4824266506382
0.0205,-47.4801893326084
0.0206,-47.4779445993534
0.0207,-47.4756925088776
0.0208,-47.4734331188201
0.0209,-47.4711664864528
0.021,-47.468892668679
0.0211,-47.4666117140201
0.0212,-47.4643236786014
0.0213,-47.4620286213526
0.0214,-47.4597265969182
0.0215,-47.4574176595011
0.0216,-47.4551018628581
0.0217,-47.452779260296
0.0218,-47.4504499046677
0.0219,-47.4481138483679
0.022,-47.445771143329
0.0221,-47.4434218410174
0.0222,-47.441065992429
0.0223,-47.4387036497534
0.0224,-47.4363348717603
0.0225,-47.4339597015497
0.0226,-47.4315781888309
0.0227,-47.4291903828768
0.0228,-47.4267963325224
0.0229,-47.4243960861625
0.023,-47.4219896917498
0.0231,-47.4195771967928
0.0232,-47.4171586483537
0.0233,-47.4147340930463
0.0234,-47.4123035770343
0.0235,-47.4098671460286
0.0236,-47.407424861529
0.0237,-47.4049767659615
0.0238,-47.4025228989249
0.0239,-47.4000633057208
0.024,-47.3975980313071
0.0241,-47.3951271203006
0.0242,-47.3926506169791
0.0243,-47.3901685652836
0.0244,-47.3876810088209
0.0245,-47.3851879908654
0.0246,-47.3826895543617
0.0247,-47.3801857419265
0.0248,-47.3776765973241
0.0249,-47.3751621675882
0.025,-47.3726424904193
0.0251,-47.3701176075629
0.0252,-47.3675875604838
0.0253,-47.3650523903696
0.0254,-47.3625121381347
0.0255,-47.3599668444234
0.0256,-47.3574165496138
0.0257,-47.3548612938213
0.0258,-47.3523011169019
0.0259,-47.3497360584564
0.026,-47.3471661578332
0.0261,-47.3445914477028
0.0262,-47.342011968683
0.0263,-47.3394277607167
0.0264,-47.3368388616625
0.0265,-47.3342453091015
0.0266,-47.3316471403398
0.0267,-47.3290443924096
0.0268,-47.326437102072
0.0269,-47.3238253058186
0.027,-47.3212090398737
0.0271,-47.3185883401963
0.0272,-47.315963242482
0.0273,-47.313333780618
0.0274,-47.310699986109
0.0275,-47.3080618969198
0.0276,-47.3054195473653
0.0277,-47.3027729714775
0.0278,-47.3001222030061
0.0279,-47.2974672754199
0.028,-47.2948082219073
0.0281,-47.2921450753777
0.0282,-47.2894778684617
0.0283,-47.2868066335127
0.0284,-47.2841314026075
0.0285,-47.2814522075474
0.0286,-47.2787690862451
0.0287,-47.2760820670572
0.0288,-47.2733911798754
0.0289,-47.2706964556497
0.029,-47.2679979250641
0.0291,-47.265295618537
0.0292,-47.2625895662222
0.0293,-47.2598797980085
0.0294,-47.2571663435207
0.0295,-47.2544492321198
0.0296,-47.251728492903
0.0297,-47.2490041547049
0.0298,-47.2462762460971
0.0299,-47.2435447953892
0.03,-47.2408098306286
0.0301,-47.2380713796015
0.0302,-47.235329469833
0.0303,-47.2325841285873
0.0304,-47.2298353828685
0.0305,-47.2270832594206
0.0306,-47.2243277847283
0.0307,-47.2215689850171
0.0308,-47.2188069220565
0.0309,-47.2160415931055
0.031,-47.213273024153
0.0311,-47.2105012411179
0.0312,-47.2077262696947
0.0313,-47.2049481353535
0.0314,-47.2021668633417
0.0315,-47.1993824786841
0.0316,-47.196595006184
0.0317,-47.1938044704242
0.0318,-47.1910108957675
0.0319,-47.1882143063576
0.032,-47.1854147261201
0.0321,-47.1826121787631
0.0322,-47.1798066877781
0.0323,-47.1769982764409
0.0324,-47.1741869678122
0.0325,-47.1713727847387
0.0326,-47.1685557498536
0.0327,-47.1657358855778
0.0328,-47.1629132141203
0.0329,-47.1600877632928
0.033,-47.1572595788093
0.0331,-47.1544286592261
0.0332,-47.1515950265457
0.0333,-47.1487587025942
0.0334,-47.1459197090234
0.0335,-47.1430780673119
0.0336,-47.1402337987668
0.0337,-47.1373869245249
0.0338,-47.1345374655544
0.0339,-47.1316854426565
0.034,-47.1288308764666
0.0341,-47.1259737874556
0.0342,-47.1231141959322
0.0343,-47.1202521220434
0.0344,-47.1173875857765
0.0345,-47.1145206069608
0.0346,-47.1116512052683
0.0347,-47.108779400216
0.0348,-47.1059052111669
0.0349,-47.1030286573316
0.035,-47.1001497577698
0.0351,-47.0972685329107
0.0352,-47.0943850031326
0.0353,-47.0914991847776
0.0354,-47.0886110963964
0.0355,-47.0857207564007
0.0356,-47.0828281830641
0.0357,-47.0799333945238
0.0358,-47.0770364087821
0.0359,-47.0741372437083
0.036,-47.0712359170398
0.0361,-47.0683324463842
0.0362,-47.0654268492201
0.0363,-47.0625191428996
0.0364,-47.059609344649
0.0365,-47.0566974715711
0.0366,-47.053783540646
0.0367,-47.0508675687336
0.0368,-47.0479495725742
0.0369,-47.0450295687908
0.037,-47.0421075738902
0.0371,-47.039183604265
0.0372,-47.0362576761945
0.0373,-47.033329796315
0.0374,-47.0303999800638
0.0375,-47.0274682499598
0.0376,-47.0245346215153
0.0377,-47.021599110121
0.0378,-47.0186617310471
0.0379,-47.0157224994448
0.038,-47.0127814303471
0.0381,-47.0098385386704
0.0382,-47.0068938392154
0.0383,-47.0039473466685
0.0384,-47.0009990756029
0.0385,-46.9980490404798
0.0386,-46.9950972556499
0.0387,-46.992143735354
0.0388,-46.9891884937248
0.0389,-46.9862315447878
0.039,-46.9832729024627
0.0391,-46.9803125805644
0.0392,-46.9773505928041
0.0393,-46.9743869527911
0.0394,-46.9714216740333
0.0395,-46.9684547600485
0.0396,-46.9654862284127
0.0397,-46.9625160951801
0.0398,-46.9595443732112
0.0399,-46.956571075259
0.04,-46.9535962139693
0.0401,-46.9506198018824
0.0402,-46.9476418514334
0.0403,-46.9446623749536
0.0404,-46.9416813846711
0.0405,-46.938698892712
0.0406,-46.9357149111009
0.0407,-46.9327294517627
0.0408,-46.9297425265223
0.0409,-46.9267541471067
0.041,-46.9237643251453
0.0411,-46.9207730721708
0.0412,-46.9177803996206
0.0413,-46.9147863188371
0.0414,-46.9117908410694
0.0415,-46.9087939774733
0.0416,-46.9057957391132
0.0417,-46.9027961351689
0.0418,-46.8997951778301
0.0419,-46.8967928779754
0.042,-46.8937892462741
0.0421,-46.8907842933067
0.0422,-46.8877780295655
0.0423,-46.8847704654555
0.0424,-46.8817616112955
0.0425,-46.8787514773189
0.0426,-46.8757400736746
0.0427,-46.8727274104276
0.0428,-46.8697134975605
0.0429,-46.8666983449738
0.043,-46.8636819624872
0.0431,-46.8606643598402
0.0432,-46.8576455466933
0.0433,-46.8546255326286
0.0434,-46.8516043271509
0.0435,-46.8485819396885
0.0436,-46.8455583795941
0.0437,-46.8425336561457
0.0438,-46.8395077783402
0.0439,-46.8364807537941
0.044,-46.8334525929242
0.0441,-46.8304233046841
0.0442,-46.8273928979559
0.0443,-46.8243613815503
0.0444,-46.821328764208
0.0445,-46.8182950546002
0.0446,-46.8152602613295
0.0447,-46.8122243929309
0.0448,-46.8091874578727
0.0449,-46.8061494645571
0.045,-46.8031104213212
0.0451,-46.8000703364379
0.0452,-46.7970292181168
0.0453,-46.7939870745049
0.0454,-46.7909439136874
0.0455,-46.7878997436889
0.0456,-46.784854572474
0.0457,-46.781808407948
0.0458,-46.7787612579582
0.0459,-46.7757131302945
0.046,-46.7726640302572
0.0461,-46.7696139614456
0.0462,-46.7665629363298
0.0463,-46.7635109623235
0.0464,-46.760458046779
0.0465,-46.7574041969887
0.0466,-46.7543494201853
0.0467,-46.7512937235428
0.0468,-46.7482371141768
0.0469,-46.7451795991456
0.047,-46.7421211854506
0.0471,-46.7390618800371
0.0472,-46.7360016897951
0.0473,-46.7329406215596
0.0474,-46.7298786821119
0.0475,-46.7268158781796
0.0476,-46.7237522164377
0.0477,-46.7206877035094
0.0478,-46.7176223459664
0.0479,-46.7145561503298
0.048,-46.7114891230709
0.0481,-46.7084212706116
0.0482,-46.7053525950116
0.0483,-46.7022831012263
0.0484,-46.6992127993877
0.0485,-46.6961416955581
0.0486,-46.6930697957452
0.0487,-46.6899971059032
0.0488,-46.686923631933
0.0489,-46.6838493796826
0.049,-46.6807743549477
0.0491,-46.6776985634723
0.0492,-46.674622010949
0.0493,-46.6715447030197
0.0494,-46.6684666452761
0.0495,-46.66538784326
0.0496,-46.6623083024639
0.0497,-46.6592280283316
0.0498,-46.6561470262587
0.0499,-46.6530653015928
0.05,-46.6499828596344
0.0501,-46.6468997056374
0.0502,-46.6438158448091
0.0503,-46.6407312823112
0.0504,-46.6376460183393
0.0505,-46.6345600596016
0.0506,-46.6314734131699
0.0507,-46.6283860839482
0.0508,-46.6252980767958
0.0509,-46.6222093965278
0.051,-46.6191200479155
0.0511,-46.6160300356872
0.0512,-46.6129393645285
0.0513,-46.6098480390829
0.0514,-46.6067560639525
0.0515,-46.6036634436982
0.0516,-46.6005701828406
0.0517,-46.5974762858605
0.0518,-46.5943817571992
0.0519,-46.5912866012591
0.052,-46.5881908224046
0.0521,-46.585094424962
0.0522,-46.5819974132207
0.0523,-46.5788997914332
0.0524,-46.5758015638162
0.0525,-46.5727027345505
0.0526,-46.569603307782
0.0527,-46.5665032876222
0.0528,-46.5634026781484
0.0529,-46.5603014834049
0.053,-46.5571997074026
0.0531,-46.5540973541205
0.0532,-46.5509944275056
0.0533,-46.5478909314738
0.0534,-46.5447868699101
0.0535,-46.5416822466694
0.0536,-46.5385770655772
0.0537,-46.5354713304295
0.0538,-46.5323650359091
0.0539,-46.5292581815006
0.054,-46.526150781503
0.0541,-46.5230428394342
0.0542,-46.5199343587805
0.0543,-46.5168253429974
0.0544,-46.5137157955097
0.0545,-46.5106057197126
0.0546,-46.5074951189715
0.0547,-46.5043839966229
0.0548,-46.501272355975
0.0549,-46.4981602003077
0.055,-46.4950475328735
0.0551,-46.491934356898
0.0552,-46.48882067558
