environment | time (second),hrv | V (millivolt)
0,-47.787168
0.0001,-47.7826185665032
0.0002,-47.7783714679601
0.0003,-47.7746406276681
0.0004,-47.7713364906002
0.0005,-47.7683946035671
0.0006,-47.7657661235867
0.0007,-47.7634125125959
0.0008,-47.7613027111419
0.0009,-47.7594110251075
0.001,-47.7577158559341
0.0011,-47.7561987630207
0.0012,-47.7548438211485
0.0013,-47.7536371149885
0.0014,-47.7525663705715
0.0015,-47.7516206784984
0.0016,-47.7507902653365
0.0017,-47.750066312483
0.0018,-47.7494408201859
0.0019,-47.7489064937943
0.002,-47.7484566485886
0.0021,-47.7480851296129
0.0022,-47.7477862508649
0.0023,-47.7475547506305
0.0024,-47.7473857414492
0.0025,-47.7472746712833
0.0026,-47.7472172907423
0.0027,-47.7472096258527
0.0028,-47.747247954815
0.0029,-47.7473287876329
0.003,-47.7474488492929
0.0031,-47.7476050585687
0.0032,-47.7477945229002
0.0033,-47.7480145066338
0.0034,-47.7482624441615
0.0035,-47.748535904524
0.0036,-47.7488326100301
0.0037,-47.7491504031317
0.0038,-47.749487252379
0.0039,-47.7498412397066
0.004,-47.7502105537425
0.0041,-47.7505934930401
0.0042,-47.7509884406744
0.0043,-47.7513938633718
0.0044,-47.7518083430473
0.0045,-47.7522305116
0.0046,-47.7526590630894
0.0047,-47.7530928050731
0.0048,-47.7535306013911
0.0049,-47.7539713454572
0.005,-47.7544140244988
0.0051,-47.7548577009549
0.0052,-47.7553014526373
0.0053,-47.7557444250883
0.0054,-47.7561858205654
0.0055,-47.7566248745782
0.0056,-47.7570608701797
0.0057,-47.7574931442561
0.0058,-47.757921056995
0.0059,-47.7583440086366
0.006,-47.758761449088
0.0061,-47.7591728455509
0.0062,-47.7595776999222
0.0063,-47.7599755527757
0.0064,-47.7603659656955
0.0065,-47.7607485257672
0.0066,-47.7611228518442
0.0067,-47.761488585266
0.0068,-47.7618453859034
0.0069,-47.7621929403275
0.007,-47.7625309582168
0.0071,-47.7628591626295
0.0072,-47.7631772986294
0.0073,-47.7634851328592
0.0074,-47.7637824432001
0.0075,-47.7640690253287
0.0076,-47.7643446929818
0.0077,-47.7646092703542
0.0078,-47.7648625959307
0.0079,-47.765104528635
0.008,-47.7653349299145
0.0081,-47.7655536742931
0.0082,-47.7657606455211
0.0083,-47.7659557382693
0.0084,-47.7661388827256
0.0085,-47.7663099805659
0.0086,-47.7664689535204
0.0087,-47.7666157293444
0.0088,-47.7667502480838
0.0089,-47.7668724902274
0.009,-47.7669823913954
0.0091,-47.7670799117377
0.0092,-47.7671650162228
0.0093,-47.7672376821668
0.0094,-47.7672979136871
0.0095,-47.7673456837106
0.0096,-47.7673809839743
0.0097,-47.7674038105245
0.0098,-47.7674141682055
0.0099,-47.7674120733348
0.01,-47.7673975317219
0.0101,-47.7673705588352
0.0102,-47.7673311735788
0.0103,-47.7672794027183
0.0104,-47.7672152785243
0.0105,-47.7671388261747
0.0106,-47.7670500775633
0.0107,-47.7669490665673
0.0108,-47.7668358287048
0.0109,-47.7667104007932
0.011,-47.7665728206069
0.0111,-47.7664231721264
0.0112,-47.7662614855239
0.0113,-47.7660878012006
0.0114,-47.7659021666512
0.0115,-47.7657046297266
0.0116,-47.7654952383386
0.0117,-47.765274040165
0.0118,-47.7650411025677
0.0119,-47.764796539041
0.012,-47.7645403633406
0.0121,-47.7642726335753
0.0122,-47.7639934080616
0.0123,-47.7637027451348
0.0124,-47.7634007029613
0.0125,-47.7630873393501
0.0126,-47.7627627597506
0.0127,-47.7624270299431
0.0128,-47.7620801983863
0.0129,-47.7617223319021
0.013,-47.7613534976294
0.0131,-47.7609737629265
0.0132,-47.7605831952734
0.0133,-47.7601818642674
0.0134,-47.7597698652561
0.0135,-47.7593472527814
0.0136,-47.7589140983441
0.0137,-47.7584704736954
0.0138,-47.758016450775
0.0139,-47.7575521016494
0.014,-47.7570774984495
0.0141,-47.7565927155469
0.0142,-47.7560978269353
0.0143,-47.755592903561
0.0144,-47.7550780179803
0.0145,-47.7545532426091
0.0146,-47.7540186496665
0.0147,-47.753474311119
0.0148,-47.7529202986244
0.0149,-47.7523567031776
0.015,-47.7517835870335
0.0151,-47.7512010208126
0.0152,-47.7506090761355
0.0153,-47.7500078240967
0.0154,-47.7493973352003
0.0155,-47.7487776792958
0.0156,-47.7481489255139
0.0157,-47.7475111422024
0.0158,-47.7468643968616
0.0159,-47.7462087560806
0.016,-47.7455442854727
0.0161,-47.7448710921658
0.0162,-47.7441892867562
0.0163,-47.7434988848853
0.0164,-47.7427999544804
0.0165,-47.7420925627023
0.0166,-47.7413767758946
0.0167,-47.7406526595322
0.0168,-47.7399202781705
0.0169,-47.7391796953945
0.017,-47.7384309737675
0.0171,-47.7376741747801
0.0172,-47.7369093587991
0.0173,-47.7361365850168
0.0174,-47.7353560593752
0.0175,-47.7345677617017
0.0176,-47.7337717410146
0.0177,-47.7329680612231
0.0178,-47.732156785621
0.0179,-47.731337976864
0.018,-47.7305116969467
0.0181,-47.7296780071796
0.0182,-47.7288369681662
0.0183,-47.7279886397805
0.0184,-47.7271330811439
0.0185,-47.7262703506022
0.0186,-47.7254005425449
0.0187,-47.7245237606821
0.0188,-47.723640015131
0.0189,-47.7227493669414
0.019,-47.7218518767856
0.0191,-47.7209476049539
0.0192,-47.7200366113506
0.0193,-47.71911895549
0.0194,-47.7181946964918
0.0195,-47.7172638930774
0.0196,-47.7163266035653
0.0197,-47.7153828858674
0.0198,-47.7144327974842
0.0199,-47.7134764091475
0.02,-47.7125137709369
0.0201,-47.7115449381555
0.0202,-47.7105699675572
0.0203,-47.7095889155417
0.0204,-47.7086018381534
0.0205,-47.7076087910798
0.0206,-47.7066098296505
0.0207,-47.7056050088353
0.0208,-47.7045943832431
0.0209,-47.7035780071206
0.021,-47.7025559343507
0.0211,-47.7015282146394
0.0212,-47.7004948954383
0.0213,-47.6994560348255
0.0214,-47.6984116845454
0.0215,-47.697361895915
0.0216,-47.6963067198203
0.0217,-47.6952462067128
0.0218,-47.6941804066062
0.0219,-47.6931093690727
0.022,-47.6920331432396
0.0221,-47.6909517777862
0.0222,-47.6898653209396
0.0223,-47.6887738204721
0.0224,-47.6876773321945
0.0225,-47.6865758992009
0.0226,-47.6854695670621
0.0227,-47.6843583822977
0.0228,-47.6832423910054
0.0229,-47.6821216388585
0.023,-47.6809961711045
0.0231,-47.6798660325637
0.0232,-47.6787312676271
0.0233,-47.6775919202552
0.0234,-47.6764480339759
0.0235,-47.6752996518832
0.0236,-47.6741468232662
0.0237,-47.6729896019403
0.0238,-47.6718280193569
0.0239,-47.6706621181131
0.024,-47.6694919404706
0.0241,-47.6683175283575
0.0242,-47.6671389233712
0.0243,-47.6659561667801
0.0244,-47.6647692995261
0.0245,-47.6635783622268
0.0246,-47.6623833951776
0.0247,-47.6611844383545
0.0248,-47.6599815314153
0.0249,-47.6587747194124
0.025,-47.6575640390961
0.0251,-47.656349528474
0.0252,-47.6551312263748
0.0253,-47.6539091713557
0.0254,-47.6526834017059
0.0255,-47.6514539554499
0.0256,-47.6502208703513
0.0257,-47.648984183916
0.0258,-47.6477439333959
0.0259,-47.6465001557921
0.026,-47.6452528878589
0.0261,-47.6440021639204
0.0262,-47.6427480157796
0.0263,-47.6414904833063
0.0264,-47.640229601852
0.0265,-47.6389654065005
0.0266,-47.6376979320696
0.0267,-47.6364272131138
0.0268,-47.6351532839255
0.0269,-47.6338761785378
0.027,-47.6325959307267
0.0271,-47.6313125740123
0.0272,-47.6300261416618
0.0273,-47.6287366666914
0.0274,-47.6274441772677
0.0275,-47.6261487075372
0.0276,-47.6248502904886
0.0277,-47.6235489578059
0.0278,-47.6222447409032
0.0279,-47.6209376709261
0.028,-47.6196277787527
0.0281,-47.6183150949943
0.0282,-47.616999649997
0.0283,-47.6156814738423
0.0284,-47.6143605963484
0.0285,-47.6130370470711
0.0286,-47.6117108569997
0.0287,-47.6103820589788
0.0288,-47.6090506781583
0.0289,-47.6077167432526
0.029,-47.6063802827234
0.0291,-47.6050413247806
0.0292,-47.6036998973831
0.0293,-47.602356028239
0.0294,-47.6010097448065
0.0295,-47.5996610742944
0.0296,-47.598310043663
0.0297,-47.5969566796242
0.0298,-47.5956010086428
0.0299,-47.5942430569364
0.03,-47.5928828504766
0.0301,-47.5915204149894
0.0302,-47.5901557759559
0.0303,-47.5887889586126
0.0304,-47.5874199879526
0.0305,-47.5860488887257
0.0306,-47.5846756854394
0.0307,-47.5833004023592
0.0308,-47.5819230795446
0.0309,-47.5805437423312
0.031,-47.5791624030857
0.0311,-47.5777790857167
0.0312,-47.5763938139216
0.0313,-47.5750066111876
0.0314,-47.5736175007924
0.0315,-47.5722265058056
0.0316,-47.5708336490897
0.0317,-47.5694389533007
0.0318,-47.5680424408895
0.0319,-47.5666441341024
0.032,-47.5652440549829
0.0321,-47.5638422253717
0.0322,-47.5624386669086
0.0323,-47.5610334010328
0.0324,-47.5596264489845
0.0325,-47.5582178318052
0.0326,-47.5568075703393
0.0327,-47.555395685235
0.0328,-47.5539821969448
0.0329,-47.5525671257271
0.033,-47.5511505137933
0.0331,-47.5497323682601
0.0332,-47.5483127050798
0.0333,-47.5468915442639
0.0334,-47.5454689056599
