environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7332165012737
0.002,-47.6607601548878
0.003,-47.5719011665404
0.004,-47.4703749087645
0.005,-47.3586733534485
0.006,-47.2383240539444
0.007,-47.1102469765463
0.008,-46.9749837780139
0.009,-46.8328347303587
0.01,-46.6839386121033
0.011,-46.5283192066399
0.012,-46.3659115302869
0.013,-46.1965776792478
0.014,-46.0201135734039
0.015,-45.8362509349262
0.016,-45.6446568669504
0.017,-45.4449309639196
0.018,-45.2365990860156
0.019,-45.0191048878563
0.02,-44.7917978426349
0.021,-44.5539222017435
0.022,-44.3045957349882
0.023,-44.0428025896422
0.024,-43.7673518380117
0.025,-43.4768456954725
0.026,-43.1696441358083
0.027,-42.8438015641109
0.028,-42.496993548626
0.029,-42.1264489054394
0.03,-41.7287884509228
0.031,-41.2998608427338
0.032,-40.8345096276102
0.033,-40.3262322896563
0.034,-39.7667150022931
0.035,-39.1450782599431
0.036,-38.4466629752898
0.037,-37.6513037175482
0.038,-36.7302313878048
0.039,-35.6404535622052
0.04,-34.3145200551152
0.041,-32.6388901146173
0.042,-30.4059102077805
0.043,-27.1991160659697
0.044,-22.1679857262347
0.045,-14.3553596462209
0.046,-5.2594714864697
0.047,2.2708736699058
0.048,7.66066407588121
0.049,11.4567735629034
0.05,14.1751399600925
0.051,16.1579224825292
0.052,17.6292530917894
0.053,18.7390383406271
0.054,19.5889805112803
0.055,20.2488235021906
0.056,20.7668520854167
0.057,21.1768205033076
0.058,21.5025634757806
0.059,21.7610909819545
0.06,21.9646901975938
0.061,22.1223530377469
0.062,22.2407623297433
0.063,22.324970631192
0.064,22.378882078723
0.065,22.4055684379363
0.066,22.407510332066
0.067,22.3867607102354
0.068,22.3450550986512
0.069,22.283885590781
0.07,22.2045654501277
0.071,22.1082728116383
0.072,21.9960712413418
0.073,21.8689272482391
0.074,21.7277294853387
0.075,21.573299976783
0.076,21.4064004507904
0.077,21.2277349020523
0.078,21.0379569992866
0.079,20.8376742109819
0.08,20.6274526115012
0.081,20.4078113334335
0.082,20.1792330516165
0.083,19.9421648950925
0.084,19.6970150307867
0.085,19.4441611319307
0.086,19.1839496418866
0.087,18.9166972413686
0.088,18.6426924989773
0.089,18.3621984832035
0.09,18.0754543665079
0.091,17.7826740790092
0.092,17.4840512611631
0.093,17.1797588200631
0.094,16.8699534671895
0.095,16.5547734738279
0.096,16.2343405388262
0.097,15.9087627095756
0.098,15.5781288832652
0.099,15.2425273414147
0.1,14.902018685541
0.101,14.5566545209127
0.102,14.2064871267667
0.103,13.851561431725
0.104,13.491895344507
0.105,13.1275175776721
0.106,12.7584331159033
0.107,12.3846501043493
0.108,12.0061684886767
0.109,11.6229832274356
0.11,11.2350810553552
0.111,10.8424427884784
0.112,10.4450468040545
0.113,10.042866905116
0.114,9.63587480440789
0.115,9.22403588827583
0.116,8.80731192587032
0.117,8.38566266960247
0.118,7.95904546632217
0.119,7.5274147607737
0.12,7.09072238645323
0.121,6.64891784738197
0.122,6.2019486401383
0.123,5.74976022205137
0.124,5.29229628075888
0.125,4.82949864797686
0.126,4.361307165059
0.127,3.88766012011248
0.128,3.40849394436676
0.129,2.92374342666467
0.13,2.43334046882399
0.131,1.93721574454682
0.132,1.43529765163914
0.133,0.927511980587112
0.134,0.413779605975819
0.135,-0.10598077341053
0.136,-0.6318540936826
0.137,-1.16393010672944
0.138,-1.70230647381841
0.139,-2.24708545452095
0.14,-2.79837619027157
0.141,-3.35629588579366
0.142,-3.92097293245175
0.143,-4.49254464127203
0.144,-5.07116482149173
0.145,-5.65699962721201
0.146,-6.25023448952237
0.147,-6.85107259905929
0.148,-7.45974324571331
0.149,-8.07649915261674
0.15,-8.7016271397099
0.151,-9.33544638672126
0.152,-9.97831792222431
0.153,-10.6306461807594
0.154,-11.2928875491471
0.155,-11.9655614472316
0.156,-12.6492568346541
0.157,-13.3446412592648
0.158,-14.0524718987735
0.159,-14.773608870743
0.16,-15.5090339318027
0.161,-16.2598678822075
0.162,-17.0273961937597
0.163,-17.8130936629914
0.164,-18.6186541934216
0.165,-19.4460225403272
0.166,-20.2974194962072
0.167,-21.1753485135068
0.168,-22.0825735182529
0.169,-23.0220414607514
0.17,-23.9967439462792
0.171,-25.0094749946453
0.172,-26.0625108584028
0.173,-27.1572816270522
0.174,-28.2939950980531
0.175,-29.4713506898141
0.176,-30.6863386787039
0.177,-31.9342650787585
0.178,-33.2089556968957
0.179,-34.5030199888582
0.18,-35.8082050995999
0.181,-37.1158048557086
0.182,-38.4170352739939
0.183,-39.7032873269168
0.184,-40.9664150026647
0.185,-42.1988650048195
0.186,-43.3938449659755
0.187,-44.5454137112194
0.188,-45.6485312875989
0.189,-46.6991149928445
0.19,-47.6940419461961
0.191,-48.6311418017292
0.192,-49.5091528567179
0.193,-50.3276662708032
0.194,-51.0870442458008
0.195,-51.7883293987012
0.196,-52.4331577713824
0.197,-53.023620071562
0.198,-53.562197994022
0.199,-54.0516101677432
0.2,-54.4947688759229
0.201,-54.8947306668221
0.202,-55.2545218271943
0.203,-55.5771810220482
0.204,-55.8656454990723
0.205,-56.1227519891454
0.206,-56.3511994116995
0.207,-56.5535292915616
0.208,-56.7321151397149
0.209,-56.8891596267353
0.21,-57.0266930934036
0.211,-57.1465765461791
0.212,-57.2505085163287
0.213,-57.3400329851811
0.214,-57.4165488404177
0.215,-57.4813196839662
0.216,-57.5354840994497
0.217,-57.5800662253976
0.218,-57.6159851187306
0.219,-57.6440652804277
0.22,-57.6650450281129
0.221,-57.6795850822672
0.222,-57.6882743192725
0.223,-57.6916392506842
0.224,-57.6901534729613
0.225,-57.6842389452001
0.226,-57.6742738358616
0.227,-57.6605963138565
0.228,-57.6435081699149
0.229,-57.6232798540024
0.23,-57.6001539463307
0.231,-57.5743486013082
0.232,-57.5460601273508
0.233,-57.5154646498881
0.234,-57.4827212508019
0.235,-57.4479730340072
0.236,-57.4113494866585
0.237,-57.3729686155149
0.238,-57.332937016704
0.239,-57.2913516706651
0.24,-57.2483008756667
0.241,-57.2038652775125
0.242,-57.1581187642081
0.243,-57.111129180129
0.244,-57.0629589287182
0.245,-57.0136655445471
0.246,-56.9633023803333
0.247,-56.9119187696892
0.248,-56.8595606411798
0.249,-56.8062700898077
0.25,-56.7520875503925
0.251,-56.697049392309
0.252,-56.6411912880382
0.253,-56.5845457283715
0.254,-56.5271441608692
0.255,-56.4690158747794
0.256,-56.4101887822991
0.257,-56.3506894736006
0.258,-56.2905429568219
0.259,-56.2297734674345
0.26,-56.168403846666
0.261,-56.1064565448253
0.262,-56.0439523168891
0.263,-55.9809109812469
0.264,-55.917353408307
0.265,-55.8532973338247
0.266,-55.7887600690068
0.267,-55.723760343762
0.268,-55.6583145291314
0.269,-55.5924384087201
0.27,-55.526148032322
0.271,-55.4594590799902
0.272,-55.3923863537047
0.273,-55.3249443634658
0.274,-55.2571468961089
0.275,-55.1890079339587
0.276,-55.1205408963056
0.277,-55.0517579362075
0.278,-54.9826717416306
0.279,-54.9132943047482
0.28,-54.8436371131039
0.281,-54.7737113265863
0.282,-54.7035276985238
0.283,-54.6330966541613
0.284,-54.5624282506637
0.285,-54.4915321303428
0.286,-54.4204175510384
0.287,-54.3490933122555
0.288,-54.2775679636826
0.289,-54.2058496338565
0.29,-54.1339459830881
0.291,-54.0618643853764
0.292,-53.9896118026463
0.293,-53.9171946765966
0.294,-53.8446191373154
0.295,-53.7718908936827
0.296,-53.6990150610485
0.297,-53.6259962872037
0.298,-53.5528388507293
0.299,-53.4795465567746
0.3,-53.4061228432266
0.301,-53.3325705225105
0.302,-53.2588920046624
0.303,-53.1850894565972
0.304,-53.1111643710787
0.305,-53.0371178678354
0.306,-52.9629500908399
0.307,-52.8886610185683
0.308,-52.8142500268716
0.309,-52.7397159036773
0.31,-52.6650568545623
0.311,-52.590270480408
0.312,-52.5153540494829
0.313,-52.4403047338042
0.314,-52.365118644575
0.315,-52.2897915365279
0.316,-52.2143178827012
0.317,-52.1386923226146
0.318,-52.0629086289304
0.319,-51.9869595339164
0.32,-51.9108370869744
0.321,-51.8345329401493
0.322,-51.7580387052351
0.323,-51.6813447407635
0.324,-51.6044410721213
0.325,-51.5273170374545
0.326,-51.4499611745297
0.327,-51.3723612078077
0.328,-51.2945039939399
0.329,-51.2163755704446
0.33,-51.1379613543595
0.331,-51.0592462169714
0.332,-50.9802145188195
0.333,-50.9008491791284
0.334,-50.8211320647495
0.335,-50.7410444616898
0.336,-50.6605669952366
0.337,-50.5796786716635
0.338,-50.498358106929
0.339,-50.4165832724162
0.34,-50.3343298289724
0.341,-50.2515733475784
0.342,-50.1682877680371
0.343,-50.0844460511994
0.344,-50.0000197511973
0.345,-49.9149791688999
0.346,-49.8292931690679
0.347,-49.7429291646832
0.348,-49.6558530073626
0.349,-49.568028931038
0.35,-49.479419411063
0.351,-49.3899851056784
0.352,-49.2996846670732
0.353,-49.2084746122788
0.354,-49.1163096801175
0.355,-49.0231414894693
0.356,-48.9289205296202
0.357,-48.8335928657598
0.358,-48.7371036269676
0.359,-48.6393933024996
0.36,-48.5404001142968
0.361,-48.4400583544377
0.362,-48.3382981886875
0.363,-48.2350466884482
0.364,-48.130224914542
0.365,-48.0237514328942
0.366,-47.9155367760865
0.367,-47.8054894166825
0.368,-47.6935076316865
0.369,-47.5794870393961
0.37,-47.4633131346301
0.371,-47.3448647428347
0.372,-47.2240125665229
0.373,-47.1006156063826
0.374,-46.9745265008782
0.375,-46.8455797391865
0.376,-46.7136058349731
0.377,-46.5784102499911
0.378,-46.4397949961546
0.379,-46.2975336562035
0.38,-46.1513894429519
0.381,-46.0011035949754
0.382,-45.8463883954954
0.383,-45.686927031241
0.384,-45.5223744373664
0.385,-45.3523488219588
0.386,-45.1764264437221
0.387,-44.9941439996931
0.388,-44.8049809862922
0.389,-44.6083549662523
0.39,-44.4036211218422
0.391,-44.1900429877471
0.392,-43.9668027887413
0.393,-43.732956965019
0.394,-43.4874240204526
0.395,-43.2289637728343
0.396,-42.9561463863001
0.397,-42.6673070339635
0.398,-42.3604886193353
0.399,-42.0333744069148
0.4,-41.6832076078549
0.401,-41.3066717177686
0.402,-40.8996769825939
0.403,-40.4571785135155
0.404,-39.9728534055706
0.405,-39.438610855883
0.406,-38.843952738811
0.407,-38.1748327863703
0.408,-37.4119534234554
0.409,-36.5279797735753
0.41,-35.4825595113273
0.411,-34.2128053923904
0.412,-32.614716791326
0.413,-30.5016756509693
0.414,-27.5092030098743
0.415,-22.9053932398878
0.416,-15.7515632191133
0.417,-7.01226820102878
0.418,0.571262545055215
0.419,6.08343445025019
0.42,9.94616181043826
0.421,12.6744889394947
0.422,14.6271579488177
0.423,16.0424346721606
0.424,17.0807124027793
0.425,17.8511513439536
0.426,18.4285018792958
0.427,18.8642702582041
