environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.72932641564
0.002,-47.6690067607881
0.003,-47.6024250097831
0.004,-47.5299331231872
0.005,-47.4520826230048
0.006,-47.3693004009371
0.007,-47.2819009143514
0.008,-47.1901184216916
0.009,-47.0941305984877
0.01,-46.9940729367203
0.011,-46.8900480814673
0.012,-46.7821315818921
0.013,-46.6703755597288
0.014,-46.5548107700306
0.015,-46.4354477800963
0.016,-46.3122777030795
0.017,-46.185272724994
0.018,-46.0543859696128
0.019,-45.9195509467826
0.02,-45.7806811014971
0.021,-45.6376687103502
0.022,-45.4903852843376
0.023,-45.3386776648953
0.024,-45.1823695489493
0.025,-45.0212572390093
0.026,-44.8551057388649
0.027,-44.6836523521075
0.028,-44.5065944947683
0.029,-44.3235926379048
0.03,-44.1342642252551
0.031,-43.9381709389984
0.032,-43.7348268964966
0.033,-43.5236751508002
0.034,-43.3040830330601
0.035,-43.0753455786746
0.036,-42.8366483518933
0.037,-42.5870552509237
0.038,-42.3254901923236
0.039,-42.0507102154956
0.04,-41.7612742518645
0.041,-41.4554969714933
0.042,-41.1313924203522
0.043,-40.786600862194
0.044,-40.4183097342982
0.045,-40.023107468176
0.046,-39.5967835868836
0.047,-39.134129845798
0.048,-38.6285825848579
0.049,-38.0717313405289
0.05,-37.4525766707449
0.051,-36.7562782114117
0.052,-35.9623743284049
0.053,-35.0416674851698
0.054,-33.9503769621028
0.055,-32.6195279125594
0.056,-30.932584904656
0.057,-28.6748029267894
0.058,-25.4102277476595
0.059,-20.2343152643607
0.06,-12.1362251754908
0.061,-2.81700721584432
0.062,4.73470005651302
0.063,10.0836980153324
0.064,13.864446380484
0.065,16.6058681455619
0.066,18.6464354245824
0.067,20.2042874727769
0.068,21.4234178102902
0.069,22.4003950619684
0.07,23.2007726063808
0.071,23.8695203582834
0.072,24.4377586995975
0.073,24.9271903179144
0.074,25.353064420581
0.075,25.7261912273677
0.076,26.0543175567775
0.077,26.3430777688415
0.078,26.5966426152031
0.079,26.8181822461669
0.08,27.0101736084217
0.081,27.1746070060389
0.082,27.3131377794806
0.083,27.4271930852652
0.084,27.5180276599569
0.085,27.5867694825262
0.086,27.63445479046
0.087,27.6620500069004
0.088,27.6704631857955
0.089,27.6605513908124
0.09,27.6331251572316
0.091,27.588956253186
0.092,27.5287819276156
0.093,27.4533068593377
0.094,27.3632036570149
0.095,27.259113334947
0.096,27.1416462782515
0.097,27.0113849992291
0.098,26.8688831375758
0.099,26.714666297632
0.1,26.5492367360435
0.101,26.3730654690972
0.102,26.186599632491
0.103,25.9902644134154
0.104,25.7844525509352
0.105,25.569541900013
0.106,25.3458795821506
0.107,25.1137973607306
0.108,24.8735974190995
0.109,24.6255681847875
0.11,24.3699730398562
0.111,24.1070555844873
0.112,23.837041195107
0.113,23.5601382927756
0.114,23.2765345866483
0.115,22.9864056992666
0.116,22.6899069133614
0.117,22.3871861279073
0.118,22.078369069364
0.119,21.7635695830271
0.12,21.4428870973442
0.121,21.1164092257452
0.122,20.7842124764618
0.123,20.4463616487507
0.124,20.1029124436681
0.125,19.7539101289544
0.126,19.3993906491971
0.127,19.0393814061942
0.128,18.6739012906125
0.129,18.3029614774932
0.13,17.9265646665857
0.131,17.5447085305808
0.132,17.157381057594
0.133,16.7645672041109
0.134,16.3662437095444
0.135,15.9623826075082
0.136,15.5529510083327
0.137,15.1379109301564
0.138,14.7172195056524
0.139,14.2908301401027
0.14,13.8586905086897
0.141,13.4207449450042
0.142,12.9769343488925
0.143,12.5271966610382
0.144,12.0714659091958
0.145,11.6096712370882
0.146,11.1417399164945
0.147,10.6675980125471
0.148,10.187168700935
0.149,9.70037132181368
0.15,9.20712040033569
0.151,8.70733005792854
0.152,8.20091456589739
0.153,7.68778403227376
0.154,7.16784468723545
0.155,6.64100068820814
0.156,6.10715717940638
0.157,5.56622819243525
0.158,5.01812095107627
0.159,4.4627293565364
0.16,3.89993933314998
0.161,3.32962450058506
0.162,2.75171558577838
0.163,2.16607957707503
0.164,1.57259662609488
0.165,0.971153321471508
0.166,0.361613462248567
0.167,-0.256155291572383
0.168,-0.882305134894167
0.169,-1.51699288659371
0.17,-2.16039269479425
0.171,-2.81269282782591
0.172,-3.47409601055812
0.173,-4.14483099830418
0.174,-4.82515342757872
0.175,-5.51535018713996
0.176,-6.21574683163911
0.177,-6.92671278397159
0.178,-7.64866924344581
0.179,-8.38210181519017
0.18,-9.12757115270638
0.181,-9.88572579833193
0.182,-10.6573136057048
0.183,-11.4432036242972
0.184,-12.244404102172
0.185,-13.0620855810177
0.186,-13.8975941750595
0.187,-14.7524861247291
0.188,-15.6285513058705
0.189,-16.5278197722453
0.19,-17.4525922176466
0.191,-18.4054369600559
0.192,-19.389165253614
0.193,-20.4067892867363
0.194,-21.4613986344215
0.195,-22.5559830166432
0.196,-23.6931417994201
0.197,-24.874720672252
0.198,-26.1014073308819
0.199,-27.3723644368
0.2,-28.6849848704248
0.201,-30.0348304578736
0.202,-31.415763399623
0.203,-32.820245717907
0.204,-34.2397011620584
0.205,-35.6649241398109
0.206,-37.0864610052381
0.207,-38.4949139354426
0.208,-39.8812391371986
0.209,-41.2368894679826
0.21,-42.5540561066937
0.211,-43.825740819684
0.212,-45.0458689693994
0.213,-46.2094020689236
0.214,-47.3123473706344
0.215,-48.3517841332704
0.216,-49.3258481984566
0.217,-50.2336880312025
0.218,-51.0753873896586
0.219,-51.8518698086634
0.22,-52.5647886527866
0.221,-53.2164004681935
0.222,-53.809441717585
0.223,-54.3470088502013
0.224,-54.8324426911364
0.225,-55.2692249817699
0.226,-55.6608899592915
0.227,-56.0109466499102
0.228,-56.3228212433173
0.229,-56.5998061232368
0.23,-56.8450291649935
0.231,-57.0614299938986
0.232,-57.2517444128775
0.233,-57.4185041039867
0.234,-57.5640283534612
0.235,-57.6904373696043
0.236,-57.7996504421531
0.237,-57.8934067030198
0.238,-57.9732773478581
0.239,-58.0406672566683
0.24,-58.0968358016645
0.241,-58.1429097913249
0.242,-58.1798919996893
0.243,-58.2086813997291
0.244,-58.2300743082415
0.245,-58.2447790910477
0.246,-58.2534260997553
0.247,-58.2565751949216
0.248,-58.254723501145
0.249,-58.248312244085
0.25,-58.2377337676972
0.251,-58.2233372484314
0.252,-58.2054334333125
0.253,-58.1842998615982
0.254,-58.1601827654889
0.255,-58.1333023181991
0.256,-58.103854619189
0.257,-58.0720143160327
0.258,-58.0379401631037
0.259,-58.0017739828825
0.26,-57.963644630275
0.261,-57.9236671913211
0.262,-57.8819457684358
0.263,-57.8385743687517
0.264,-57.7936383913198
0.265,-57.7472149006499
0.266,-57.6993753502603
0.267,-57.6501859181682
0.268,-57.5997026777428
0.269,-57.5479842978922
0.27,-57.4950847601277
0.271,-57.4410484988622
0.272,-57.385921445294
0.273,-57.3297436996711
0.274,-57.2725523433928
0.275,-57.2143837259229
0.276,-57.1552707837393
0.277,-57.0952455978779
0.278,-57.0343391930191
0.279,-56.9725805748038
0.28,-56.9099979730401
0.281,-56.8466182423592
0.282,-56.782466611804
0.283,-56.7175677340151
0.284,-56.6519450819645
0.285,-56.5856213268019
0.286,-56.5186188622428
0.287,-56.4509592390831
0.288,-56.3826635945697
0.289,-56.3137527875039
0.29,-56.2442468128287
0.291,-56.174165637821
0.292,-56.103528570711
0.293,-56.0323546648152
0.294,-55.9606626866589
0.295,-55.8884710636094
0.296,-55.8157979707509
0.297,-55.7426613612901
0.298,-55.669078895326
0.299,-55.5950680634012
0.3,-55.520646242959
0.301,-55.4458304544577
0.302,-55.3706374207376
0.303,-55.2950840216135
0.304,-55.2191867945174
0.305,-55.1429616949813
0.306,-55.0664250122872
0.307,-54.989592702066
0.308,-54.9124801511117
0.309,-54.8351029123439
0.31,-54.7574762120893
0.311,-54.6796149349757
0.312,-54.6015337826634
0.313,-54.5232472339911
0.314,-54.4447694060573
0.315,-54.3661140830936
0.316,-54.2872948508836
0.317,-54.2083249377524
0.318,-54.1292172309709
0.319,-54.0499842963282
0.32,-53.9706383479629
0.321,-53.8911913900193
0.322,-53.8116549424232
0.323,-53.7320402120586
0.324,-53.6523577742675
0.325,-53.572617904924
0.326,-53.4928304747934
0.327,-53.4130048004335
0.328,-53.3331496769232
0.329,-53.2532734393346
0.33,-53.1733839979408
0.331,-53.0934891634641
0.332,-53.0135958104312
0.333,-52.9337104914258
0.334,-52.8538390515056
0.335,-52.7739869100324
0.336,-52.6941588473441
0.337,-52.6143590261292
0.338,-52.5345910434958
0.339,-52.4548580388146
0.34,-52.3751624398167
0.341,-52.2955061983637
0.342,-52.2158906603615
0.343,-52.1363165624606
0.344,-52.0567840576712
0.345,-51.9772926861253
0.346,-51.89784134952
0.347,-51.8184284282018
0.348,-51.7390516903018
0.349,-51.6597081325442
0.35,-51.5803943179511
0.351,-51.5011061782044
0.352,-51.421838980354
0.353,-51.3425872962646
0.354,-51.2633452322726
0.355,-51.184106229448
0.356,-51.1048630839861
0.357,-51.0256080029781
0.358,-50.9463325813654
0.359,-50.8670277942021
0.36,-50.7876839975585
0.361,-50.7082909400278
0.362,-50.6288377534792
0.363,-50.5493129071293
0.364,-50.4697042758423
0.365,-50.3899991320746
0.366,-50.3101840968097
0.367,-50.2302450368805
0.368,-50.1501673556438
0.369,-50.0699357719962
0.37,-49.9895341845003
0.371,-49.9089458803195
0.372,-49.8281536313625
0.373,-49.7471394575006
0.374,-49.6658841618811
0.375,-49.5843685096731
0.376,-49.5025723684359
0.377,-49.4204744778521
0.378,-49.3380527406574
0.379,-49.2552848387389
0.38,-49.1721474928358
0.381,-49.0886152239983
0.382,-49.0046633048647
0.383,-48.9202656793559
0.384,-48.8353947348365
0.385,-48.7500213380733
0.386,-48.6641167631864
0.387,-48.5776508212704
0.388,-48.4905898836414
0.389,-48.4029015143616
0.39,-48.3145517874203
0.391,-48.225504508164
0.392,-48.1357204969553
0.393,-48.0451621229645
0.394,-47.9537893961937
0.395,-47.8615568126535
0.396,-47.7684202691322
0.397,-47.6743343559561
0.398,-47.5792507663925
0.399,-47.483116348617
0.4,-47.385878461976
0.401,-47.2874790970776
0.402,-47.1878586056637
0.403,-47.0869538491036
0.404,-46.9846969623577
