environment | time (second),hrv | V (millivolt)
0,-47.787168
0.001,-47.7454904191385
0.002,-47.7252071793473
0.003,-47.7137837563609
0.004,-47.7064000851581
0.005,-47.7005337209364
0.006,-47.694774581666
0.007,-47.6883363171756
0.008,-47.680794610313
0.009,-47.6719380638249
0.01,-47.6616799745543
0.011,-47.6500076299207
0.012,-47.6369513515153
0.013,-47.6225646362497
0.014,-47.6069142023861
0.015,-47.5900734926018
0.016,-47.5721176532818
0.017,-47.5531209760751
0.018,-47.5331544444846
0.019,-47.5122865293691
0.02,-47.4905826207721
0.021,-47.4681043815738
0.022,-47.4449096122296
0.023,-47.4210520418964
0.024,-47.3965814443038
0.025,-47.3715442057005
0.026,-47.3459834731985
0.027,-47.319939308432
0.028,-47.293448852718
0.029,-47.2665463817319
0.03,-47.2392636289109
0.031,-47.2116297336977
0.032,-47.1836719655895
0.033,-47.1554150188266
0.034,-47.1268822357202
0.035,-47.0980948027807
0.036,-47.0690724624145
0.037,-47.0398334791318
0.038,-47.0103945949074
0.039,-46.980771272627
0.04,-46.9509777723819
0.041,-46.9210270963256
0.042,-46.8909312915295
0.043,-46.8607013803073
0.044,-46.8303475170322
0.045,-46.7998790201856
0.046,-46.7693045044
0.047,-46.7386317671997
0.048,-46.7078680754982
0.049,-46.6770199651279
0.05,-46.6460934461864
0.051,-46.6150939506087
0.052,-46.5840264087878
0.053,-46.5528953680648
0.054,-46.5217049239306
0.055,-46.4904585904351
0.056,-46.4591598337075
0.057,-46.4278117653958
0.058,-46.3964167941698
0.059,-46.3649773774184
0.06,-46.3334957726748
0.061,-46.3019738015716
0.062,-46.2704127998155
0.063,-46.2388143117926
0.064,-46.2071795447638
0.065,-46.1755092857378
0.066,-46.1438043806724
0.067,-46.1120654423637
0.068,-46.0802928832806
0.069,-46.048486958752
0.07,-46.0166478530667
0.071,-45.984775601825
0.072,-45.9528700253512
0.073,-45.9209309563554
0.074,-45.888958098913
0.075,-45.8569509809852
0.076,-45.8249090729428
0.077,-45.7928318014404
0.078,-45.7607184742224
0.079,-45.7285682457721
0.08,-45.6963802955706
0.081,-45.6641537020529
0.082,-45.6318873675214
0.083,-45.5995802311273
0.084,-45.5672311674034
0.085,-45.5348389927726
0.086,-45.5024024820295
0.087,-45.4699201781519
0.088,-45.4373906749008
0.089,-45.4048126324854
0.09,-45.3721846099476
0.091,-45.3395051386989
0.092,-45.3067725457704
0.093,-45.2739850169778
0.094,-45.241141051498
0.095,-45.2082389599577
0.096,-45.1752770226365
0.097,-45.1422534210559
0.098,-45.1091660278752
0.099,-45.0760131071211
0.1,-45.0427927148074
0.101,-45.0095028672074
0.102,-44.9761415418356
0.103,-44.9427064688866
0.104,-44.9091955948966
0.105,-44.8756067262083
0.106,-44.8419376232803
0.107,-44.8081860009073
0.108,-44.7743494899719
0.109,-44.7404257064318
0.11,-44.7064122214313
0.111,-44.6723065510507
0.112,-44.6381061635556
0.113,-44.6038084172484
0.114,-44.5694106397712
0.115,-44.5349101707759
0.116,-44.5003042662654
0.117,-44.4655901331224
0.118,-44.4307649292425
0.119,-44.3958257636682
0.12,-44.3607696967226
0.121,-44.325593552285
0.122,-44.2902939284799
0.123,-44.254867933993
0.124,-44.2193123509797
0.125,-44.1836239038417
0.126,-44.14779925898
0.127,-44.1118350245489
0.128,-44.0757277502084
0.129,-44.0394737856382
0.13,-44.0030684590857
0.131,-43.966508702446
0.132,-43.9297906637978
0.133,-43.8929104107446
0.134,-43.8558639290842
0.135,-43.8186471214782
0.136,-43.781255806121
0.137,-43.7436857154096
0.138,-43.7059316999146
0.139,-43.6679896167502
0.14,-43.6298548798819
0.141,-43.5915227431383
0.142,-43.5529883532172
0.143,-43.5142467475955
0.144,-43.4752928524403
0.145,-43.4361214805194
0.146,-43.3967263055914
0.147,-43.3571018558331
0.148,-43.3172427408145
0.149,-43.2771430882241
0.15,-43.2367968762162
0.151,-43.19619792998
0.152,-43.1553399183068
0.153,-43.1142163501587
0.154,-43.0728202397587
0.155,-43.0311443950429
0.156,-42.9891819122966
0.157,-42.9469254356614
0.158,-42.904367400537
0.159,-42.8615000279156
0.16,-42.8183150877221
0.161,-42.7748040112537
0.162,-42.7309584248199
0.163,-42.6867694833286
0.164,-42.6422280739786
0.165,-42.5973248088367
0.166,-42.5520497702418
0.167,-42.5063925214473
0.168,-42.460342925485
0.169,-42.4138902329402
0.17,-42.367023351594
0.171,-42.319730836873
0.172,-42.2720007686285
0.173,-42.2238206851724
0.174,-42.1751781032383
0.175,-42.1260599729691
0.176,-42.0764528279509
0.177,-42.0263427745226
0.178,-41.9757148936876
0.179,-41.9245524815959
0.18,-41.8728408329213
0.181,-41.8205636173274
0.182,-41.7677039215599
0.183,-41.7142442316502
0.184,-41.6601660791708
0.185,-41.6054489764368
0.186,-41.5500735290734
0.187,-41.4940187842997
0.188,-41.4372629101491
0.189,-41.379782835151
0.19,-41.3215547312284
0.191,-41.2625538015706
0.192,-41.2027541256227
0.193,-41.1421284277078
0.194,-41.0806476757289
0.195,-41.0182824983278
0.196,-40.9550018625313
0.197,-40.8907733765991
0.198,-40.8255622352612
0.199,-40.7593329683865
0.2,-40.6920484386348
0.201,-40.6236697320035
0.202,-40.5541548297173
0.203,-40.4834580266039
0.204,-40.411534785634
0.205,-40.3383369472865
0.206,-40.2638139722629
0.207,-40.1879073718973
0.208,-40.1105612789805
0.209,-40.0317152889515
0.21,-39.9513054376756
0.211,-39.8692622627232
0.212,-39.7855112916772
0.213,-39.6999772617819
0.214,-39.612579133672
0.215,-39.5232312350822
0.216,-39.431831668282
0.217,-39.3382859551213
0.218,-39.2424890432447
0.219,-39.1443295417328
0.22,-39.0436853115459
0.221,-38.9404227579704
0.222,-38.8344030710116
0.223,-38.7254729439014
0.224,-38.6134653358612
0.225,-38.4982011963438
0.226,-38.379487816919
0.227,-38.2571161983949
0.228,-38.1308593534027
0.229,-38.0004693807413
0.23,-37.8656740975612
0.231,-37.7261764417126
0.232,-37.5816504957033
0.233,-37.4317372603986
0.234,-37.2760392016706
0.235,-37.114116613048
0.236,-36.9454808229578
0.237,-36.7695858725984
0.238,-36.585821288879
0.239,-36.3935001266545
0.24,-36.19184733352
0.241,-35.979983833352
0.242,-35.7569068791568
0.243,-35.5214647621508
0.244,-35.2723315257331
0.245,-35.0079722044116
0.246,-34.726586799077
0.247,-34.4260465773386
0.248,-34.1038349738405
0.249,-33.7569323488374
0.25,-33.3817118637279
0.251,-32.9736815893647
0.252,-32.5272294655734
0.253,-32.035272074719
0.254,-31.4887512492911
0.255,-30.8757347521581
0.256,-30.1801435056052
0.257,-29.3797714640203
0.258,-28.4427206573777
0.259,-27.321320428985
0.26,-25.9406898701634
0.261,-24.1754315112946
0.262,-21.8013620976884
0.263,-18.3989110453311
0.264,-13.2847498921387
0.265,-6.23974373230085
0.266,1.04831370302224
0.267,6.88594475142983
0.268,11.1687254982187
0.269,14.3127998576396
0.27,16.6655764083691
0.271,18.4631009901034
0.272,19.8648057723463
0.273,20.9797053832517
0.274,21.8831876463776
0.275,22.6279161438359
0.276,23.2510504987824
0.277,23.7790611385153
0.278,24.2309652677731
0.279,24.6205560699975
0.28,24.9579345307634
0.281,25.2505823448755
0.282,25.5041258412463
0.283,25.7228736364446
0.284,25.9101844361568
0.285,26.0687450901048
0.286,26.2007533094224
0.287,26.3080542324309
0.288,26.3922276939122
0.289,26.4546552427144
0.29,26.4965691994715
0.291,26.5190814844841
0.292,26.5232038862689
0.293,26.509872956359
0.294,26.4799521794496
0.295,26.4342450040531
0.296,26.3735011586642
0.297,26.298420058058
0.298,26.2096562421664
0.299,26.1078223733499
0.3,25.993491255211
0.301,25.8671984200607
0.302,25.7294451450252
0.303,25.5807001711239
0.304,25.4214010457502
0.305,25.2519556965603
0.306,25.0727445578587
0.307,24.8841217504715
0.308,24.6864167058338
0.309,24.4799353851685
0.31,24.2649615159136
0.311,24.0417576011515
0.312,23.810566120182
0.313,23.5716116205544
0.314,23.3251007736839
0.315,23.071223392765
0.316,22.8101533205187
0.317,22.5420494897789
0.318,22.267056893161
0.319,21.9853065238116
0.32,21.6969170709384
0.321,21.4019953148318
0.322,21.1006363846711
0.323,20.792924545971
0.324,20.47893396831
0.325,20.1587290196652
0.326,19.832364622412
0.327,19.499886962604
0.328,19.1613337584625
0.329,18.8167352069439
0.33,18.4661128317834
0.331,18.1094816799864
0.332,17.7468489598101
0.333,17.3782149038386
0.334,17.0035745666955
0.335,16.6229152080653
0.336,16.2362191448194
0.337,15.8434625745087
0.338,15.4446167668744
0.339,15.0396478853815
0.34,14.628515810532
0.341,14.2111751936554
0.342,13.7875767102121
0.343,13.357667122297
0.344,12.9213878118013
0.345,12.4786740134103
0.346,12.0294576607725
0.347,11.5736710283501
0.348,11.1112407835414
0.349,10.6420864329004
0.35,10.1661173786852
0.351,9.6832461233228
0.352,9.19337797617443
0.353,8.6964191596755
0.354,8.19227164644353
0.355,7.68083408062657
0.356,7.16199003053827
0.357,6.635618001575
0.358,6.10159686582008
0.359,5.55980051326939
0.36,5.01010312298153
0.361,4.45235670024756
0.362,3.88639140909405
0.363,3.31204669657392
0.364,2.72916745057213
0.365,2.13753240768444
0.366,1.53694967075141
0.367,0.927170875781372
0.368,0.30793619092414
0.369,-0.321028826767196
0.37,-0.960052086729415
0.371,-1.609500884254
0.372,-2.26979322056504
0.373,-2.94140704030825
0.374,-3.62489243939883
0.375,-4.32088594616452
0.376,-5.03012570859453
0.377,-5.75346936179786
0.378,-6.49191729958097
0.379,-7.24663767913939
0.38,-8.01899235953323
0.381,-8.81056566329814
0.382,-9.62319621213345
0.383,-10.4590066226089
0.384,-11.3204236265869
0.385,-12.2101885656899
0.386,-13.1313523459291
0.387,-14.0872299744096
0.388,-15.0813062505772
0.389,-16.1171007670286
0.39,-17.1979743018322
0.391,-18.3268208810513
0.392,-19.5058132613254
0.393,-20.7361031266354
0.394,-22.0176009910677
0.395,-23.3488160391318
0.396,-24.7267714054126
0.397,-26.1471407743421
0.398,-27.6043249058533
0.399,-29.0916716898857
0.4,-30.6016948363577
0.401,-32.1262920707334
0.402,-33.6569434379233
0.403,-35.1849014583956
0.404,-36.7013363679199
0.405,-38.1975445737374
0.406,-39.6650463613838
0.407,-41.0958315965308
0.408,-42.4824317172868
0.409,-43.8181474024712
0.41,-45.0971215543243
0.411,-46.314450967946
0.412,-47.4662761492804
0.413,-48.5498117620115
0.414,-49.5633485002652
0.415,-50.5062212348284
0.416,-51.3787402944445
0.417,-52.1820960269585
0.418,-52.9182420003574
0.419,-53.5897652794641
0.42,-54.1997498946967
0.421,-54.7516477413554
0.422,-55.2491566770556
0.423,-55.6960992616234
0.424,-56.0963272518793
0.425,-56.4536461104072
0.426,-56.7717506499925
0.427,-57.0541730725939
0.428,-57.3042509314477
0.429,-57.5251033032779
0.43,-57.719621626139
0.431,-57.8904645737928
0.432,-58.0400569477301
0.433,-58.1706012913744
0.434,-58.2840898193221
0.435,-58.3823147873054
0.436,-58.4668822600418
0.437,-58.5392283127442
0.438,-58.6006330692465
0.439,-58.6522355711626
0.44,-58.6950477635943
0.441,-58.7299669828486
0.442,-58.7577875999549
0.443,-58.7792134962654
0.444,-58.7948684160458
0.445,-58.8053039975862
0.446,-58.8110048779701
0.447,-58.8124011080153
0.448,-58.8098741044571
0.449,-58.8037618827811
0.45,-58.794365699034
0.451,-58.7819515520904
0.452,-58.7667551726483
0.453,-58.7489858879835
0.454,-58.7288295947816
0.455,-58.7064525743213
0.456,-58.6820038952483
0.457,-58.6556151227676
0.458,-58.6274096259737
0.459,-58.5974907086159
0.46,-58.5659605496843
0.461,-58.5329032312696
0.462,-58.4984004560918
0.463,-58.4625237563595
0.464,-58.4253376542982
0.465,-58.3869023393924
0.466,-58.3472720203813
0.467,-58.3064975208685
0.468,-58.2646246226552
0.469,-58.2216974322133
0.47,-58.1777552455915
0.471,-58.1328364198075
0.472,-58.0869758887302
0.473,-58.0402064956164
0.474,-57.9925595553204
0.475,-57.9440640128485
0.476,-57.8947478167383
0.477,-57.8446373074442
0.478,-57.79375787556
0.479,-57.7421336837492
0.48,-57.6897883117926
0.481,-57.6367442668146
0.482,-57.5830234261123
0.483,-57.5286470988303
0.484,-57.473635764472
0.485,-57.4180096291313
0.486,-57.3617882715709
0.487,-57.3049909744995
0.488,-57.2476366279722
0.489,-57.1897438838356
0.49,-57.1313309716522
0.491,-57.0724160025994
0.492,-57.0130170468698
0.493,-56.9531520214702
0.494,-56.8928378639413
0.495,-56.8320925369547
0.496,-56.770933708713
0.497,-56.709378530657
0.498,-56.6474437140292
0.499,-56.5851469352103
0.5,-56.5225055481918
0.501,-56.4595360580211
0.502,-56.3962555597529
0.503,-56.3326811790378
0.504,-56.268829865004
0.505,-56.2047181068367
0.506,-56.1403628595082
0.507,-56.0757808693728
0.508,-56.0109888788037
0.509,-55.9460036219815
0.51,-55.8808417801229
0.511,-55.8155200401476
0.512,-55.7500548596626
0.513,-55.6844628339549
0.514,-55.6187605175015
0.515,-55.5529643457862
0.516,-55.4870903528584
0.517,-55.4211548958883
0.518,-55.3551740987539
0.519,-55.2891638827581
0.52,-55.2231400125536
0.521,-55.1571182142496
0.522,-55.09111401449
0.523,-55.0251428370394
0.524,-54.9592198864026
0.525,-54.8933601986544
0.526,-54.8275786061872
0.527,-54.7618896601213
0.528,-54.696307787646
0.529,-54.6308471510393
0.53,-54.5655216115813
0.531,-54.5003447596258
0.532,-54.4353299528463
0.533,-54.3704902324046
0.534,-54.3058383743528
0.535,-54.2413868001468
0.536,-54.177147612082
0.537,-54.113132615183
0.538,-54.0493533976448
0.539,-53.9858210474342
0.54,-53.9225463588669
0.541,-53.8595396708936
0.542,-53.7968109441446
0.543,-53.7343698031288
0.544,-53.6722254285105
0.545,-53.6103868536899
0.546,-53.5488624411996
0.547,-53.4876602245201
0.548,-53.4267878636627
0.549,-53.3662527017249
0.55,-53.30606153971
0.551,-53.2462208107189
0.552,-53.1867366711876
0.553,-53.1276148472455
0.554,-53.0688605960106
0.555,-53.0104788122498
0.556,-52.9524737233382
0.557,-52.8948493947693
0.558,-52.8376093695418
0.559,-52.7807570321852
0.56,-52.7242958915256
0.561,-52.6682284112592
